Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Brainstorm,1.0,['Blue'],['U'],None,['Instant'],None,Common,ME2,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Elven Lyre,2.0,None,None,None,['Artifact'],None,Common,ME2,None,None,None,"{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn."
Reinforcements,1.0,['White'],['W'],None,['Instant'],None,Common,ME2,None,None,None,Put up to three target creature cards from your graveyard on top of your library.
Elkin Bottle,3.0,None,None,None,['Artifact'],None,Rare,ME2,None,None,None,"{3}, {T}: Exile the top card of your library. Until the beginning of your next upkeep, you may play that card."
Warning,1.0,['White'],['W'],None,['Instant'],None,Common,ME2,None,None,None,Prevent all combat damage that would be dealt by target attacking creature this turn.
Ashnod's Cylix,2.0,None,None,None,['Artifact'],None,Rare,ME2,None,None,None,"{3}, {T}: Target player looks at the top three cards of their library, puts one of them back on top of their library, then exiles the rest."
Balduvian Conjurer,2.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,ME2,0,2,None,{T}: Target snow land becomes a 2/2 creature until end of turn. It's still a land.
Aeolipile,2.0,None,None,None,['Artifact'],None,Common,ME2,None,None,None,"{1}, {T}, Sacrifice Aeolipile: It deals 2 damage to any target."
Binding Grasp,4.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Rare,ME2,None,None,None,"Enchant creature\nAt the beginning of your upkeep, sacrifice Binding Grasp unless you pay {1}{U}.\nYou control enchanted creature.\nEnchanted creature gets +0/+1."
Despotic Scepter,1.0,None,None,None,['Artifact'],None,Rare,ME2,None,None,None,{T}: Destroy target permanent you own. It can't be regenerated.
Aether Storm,4.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,ME2,None,None,None,Creature spells can't be cast.\nPay 4 life: Destroy Aether Storm. It can't be regenerated. Any player may activate this ability.
Clockwork Steed,4.0,None,None,None,"['Artifact', 'Creature']",['Horse'],Uncommon,ME2,0,3,None,"Clockwork Steed enters the battlefield with four +1/+0 counters on it.\nClockwork Steed can't be blocked by artifact creatures.\nAt end of combat, if Clockwork Steed attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Steed. This ability can't cause the total number of +1/+0 counters on Clockwork Steed to be greater than four. Activate only during your upkeep."
Swords to Plowshares,1.0,['White'],['W'],None,['Instant'],None,Uncommon,ME2,None,None,None,Exile target creature. Its controller gains life equal to its power.
Barbed Sextant,1.0,None,None,None,['Artifact'],None,Common,ME2,None,None,None,"{1}, {T}, Sacrifice Barbed Sextant: Add one mana of any color. Draw a card at the beginning of the next turn's upkeep."
Sustaining Spirit,2.0,['White'],['W'],None,['Creature'],"['Angel', 'Spirit']",Rare,ME2,0,3,None,"Cumulative upkeep {1}{W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nDamage that would reduce your life total to less than 1 reduces it to 1 instead."
