Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Glimmervoid Basin,0.0,None,None,None,['Plane'],['Mirrodin'],Common,OHOP,None,None,None,"Whenever a player casts an instant or sorcery spell with a single target, that player copies that spell for each other spell, permanent, card not on the battlefield, and/or player the spell could target. Each copy targets a different one of them.\nWhenever you roll {CHAOS}, choose target creature. Each player except that creature's controller creates a token that's a copy of that creature."
The Fourth Sphere,0.0,None,None,None,['Plane'],['Phyrexia'],Common,OHOP,None,None,None,"At the beginning of your upkeep, sacrifice a nonblack creature.\nWhenever you roll {CHAOS}, create a 2/2 black Zombie creature token."
Fields of Summer,0.0,None,None,None,['Plane'],['Moag'],Common,OHOP,None,None,None,"Whenever a player casts a spell, that player may gain 2 life.\nWhenever you roll {CHAOS}, you may gain 10 life."
The Dark Barony,0.0,None,None,None,['Plane'],['Ulgrotha'],Common,OHOP,None,None,None,"Whenever a nonblack card is put into a player's graveyard from anywhere, that player loses 1 life.\nWhenever you roll {CHAOS}, each opponent discards a card."
Eloren Wilds,0.0,None,None,None,['Plane'],['Shandalar'],Common,OHOP,None,None,None,"Whenever a player taps a permanent for mana, that player adds one mana of any type that permanent produced.\nWhenever you roll {CHAOS}, target player can't cast spells until a player planeswalks."
Feeding Grounds,0.0,None,None,None,['Plane'],['Muraganda'],Common,OHOP,None,None,None,"Red spells cost {1} less to cast.\nGreen spells cost {1} less to cast.\nWhenever you roll {CHAOS}, put X +1/+1 counters on target creature, where X is that creature's mana value."
The Eon Fog,0.0,None,None,None,['Plane'],['Equilor'],Common,OHOP,None,None,None,"Players skip their untap steps.\nWhenever you roll {CHAOS}, untap all permanents you control."
Cliffside Market,0.0,None,None,None,['Plane'],['Mercadia'],Common,OHOP,None,None,None,"When you planeswalk to Cliffside Market or at the beginning of your upkeep, you may exchange life totals with target player.\nWhenever you roll {CHAOS}, exchange control of two target permanents that share a card type."
Bant,0.0,None,None,None,['Plane'],['Alara'],Common,OHOP,None,None,None,"All creatures have exalted. (Whenever a creature attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents its controller controls.)\nWhenever you roll {CHAOS}, put a divinity counter on target green, white, or blue creature. That creature has indestructible for as long as it has a divinity counter on it."
The Aether Flues,0.0,None,None,None,['Plane'],['Iquatana'],Common,OHOP,None,None,None,"When you planeswalk to The Aether Flues or at the beginning of your upkeep, you may sacrifice a creature. If you do, reveal cards from the top of your library until you reveal a creature card, put that card onto the battlefield, then shuffle all other cards revealed this way into your library.\nWhenever you roll {CHAOS}, you may put a creature card from your hand onto the battlefield."
Academy at Tolaria West,0.0,None,None,None,['Plane'],['Dominaria'],Common,OHOP,None,None,None,"At the beginning of your end step, if you have no cards in hand, draw seven cards.\nWhenever you roll {CHAOS}, discard your hand."
