Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Maze of Ith,0.0,None,None,None,['Land'],None,Mythic,OLGC,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Scrubland,0.0,None,"['B', 'W']",None,['Land'],"['Plains', 'Swamp']",Mythic,OLGC,None,None,None,({T}: Add {W} or {B}.)
Brainstorm,1.0,['Blue'],['U'],None,['Instant'],None,Rare,OLGC,None,None,None,"Draw three cards, then put two cards from your hand on top of your library in any order."
Savannah,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Mythic,OLGC,None,None,None,({T}: Add {G} or {W}.)
Bayou,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Mythic,OLGC,None,None,None,({T}: Add {B} or {G}.)
Karakas,0.0,None,['W'],['Legendary'],['Land'],None,Mythic,OLGC,None,None,None,{T}: Add {W}.\n{T}: Return target legendary creature to its owner's hand.
Taiga,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Mythic,OLGC,None,None,None,({T}: Add {R} or {G}.)
Rishadan Port,0.0,None,None,None,['Land'],None,Mythic,OLGC,None,None,None,"{T}: Add {C}.\n{1}, {T}: Tap target land."
Wasteland,0.0,None,None,None,['Land'],None,Uncommon,OLGC,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Wasteland: Destroy target nonbasic land."
Force of Will,5.0,['Blue'],['U'],None,['Instant'],None,Rare,OLGC,None,None,None,You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.\nCounter target spell.
City of Traitors,0.0,None,None,None,['Land'],None,Mythic,OLGC,None,None,None,"When you play another land, sacrifice City of Traitors.\n{T}: Add {C}{C}."
Underground Sea,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Mythic,OLGC,None,None,None,({T}: Add {U} or {B}.)
Tropical Island,0.0,None,"['G', 'U']",None,['Land'],"['Forest', 'Island']",Mythic,OLGC,None,None,None,({T}: Add {G} or {U}.)
Tundra,0.0,None,"['U', 'W']",None,['Land'],"['Plains', 'Island']",Mythic,OLGC,None,None,None,({T}: Add {W} or {U}.)
Volcanic Island,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Mythic,OLGC,None,None,None,({T}: Add {U} or {R}.)
Gaea's Cradle,0.0,None,['G'],['Legendary'],['Land'],None,Mythic,OLGC,None,None,None,{T}: Add {G} for each creature you control.
Plateau,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Mythic,OLGC,None,None,None,({T}: Add {R} or {W}.)
Badlands,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Mythic,OLGC,None,None,None,({T}: Add {B} or {R}.)
