Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Serpentine Spike,7.0,None,['R'],None,['Sorcery'],None,Rare,PBFZ,None,None,None,"Devoid (This card has no color.)\nSerpentine Spike deals 2 damage to target creature, 3 damage to another target creature, and 4 damage to a third target creature. If a creature dealt damage this way would die this turn, exile it instead."
Canopy Vista,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,PBFZ,None,None,None,({T}: Add {G} or {W}.)\nCanopy Vista enters the battlefield tapped unless you control two or more basic lands.
Part the Waterveil,6.0,['Blue'],['U'],None,['Sorcery'],None,Mythic,PBFZ,None,None,None,"Take an extra turn after this one. Exile Part the Waterveil.\nAwaken 6—{6}{U}{U}{U} (If you cast this spell for {6}{U}{U}{U}, also put six +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
Oblivion Sower,6.0,None,None,None,['Creature'],['Eldrazi'],Mythic,PBFZ,5,8,None,"When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control."
Exert Influence,5.0,['Blue'],['U'],None,['Sorcery'],None,Rare,PBFZ,None,None,None,Converge — Gain control of target creature if its power is less than or equal to the number of colors of mana spent to cast this spell.
Emeria Shepherd,7.0,['White'],['W'],None,['Creature'],['Angel'],Rare,PBFZ,4,4,None,"Flying\nLandfall — Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead."
Smothering Abomination,4.0,None,['B'],None,['Creature'],['Eldrazi'],Rare,PBFZ,4,3,None,"Devoid (This card has no color.)\nFlying\nAt the beginning of your upkeep, sacrifice a creature.\nWhenever you sacrifice a creature, draw a card."
Ally Encampment,0.0,None,None,None,['Land'],None,Rare,PBFZ,None,None,None,"{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast an Ally spell.\n{1}, {T}, Sacrifice Ally Encampment: Return target Ally you control to its owner's hand."
Barrage Tyrant,5.0,None,['R'],None,['Creature'],['Eldrazi'],Rare,PBFZ,5,3,None,"Devoid (This card has no color.)\n{2}{R}, Sacrifice another colorless creature: Barrage Tyrant deals damage equal to the sacrificed creature's power to any target."
"Gideon, Ally of Zendikar",4.0,['White'],['W'],['Legendary'],['Planeswalker'],['Gideon'],Mythic,PBFZ,None,None,4,"[+1]: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.\n[0]: Create a 2/2 white Knight Ally creature token.\n[−4]: You get an emblem with ""Creatures you control get +1/+1."""
Felidar Sovereign,6.0,['White'],['W'],None,['Creature'],"['Cat', 'Beast']",Rare,PBFZ,4,6,None,"Vigilance, lifelink\nAt the beginning of your upkeep, if you have 40 or more life, you win the game."
Endless One,0.0,None,None,None,['Creature'],['Eldrazi'],Rare,PBFZ,0,0,None,Endless One enters the battlefield with X +1/+1 counters on it.
Aligned Hedron Network,4.0,None,None,None,['Artifact'],None,Rare,PBFZ,None,None,None,"When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. (Those creatures return under their owners' control.)"
Desolation Twin,10.0,None,None,None,['Creature'],['Eldrazi'],Rare,PBFZ,10,10,None,"When you cast this spell, create a 10/10 colorless Eldrazi creature token."
Veteran Warleader,3.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Human', 'Soldier', 'Ally']",Rare,PBFZ,*,*,None,"Veteran Warleader's power and toughness are each equal to the number of creatures you control.\nTap another untapped Ally you control: Veteran Warleader gains your choice of first strike, vigilance, or trample until end of turn."
Sunken Hollow,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,PBFZ,None,None,None,({T}: Add {U} or {B}.)\nSunken Hollow enters the battlefield tapped unless you control two or more basic lands.
Smoldering Marsh,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,PBFZ,None,None,None,({T}: Add {B} or {R}.)\nSmoldering Marsh enters the battlefield tapped unless you control two or more basic lands.
"Drana, Liberator of Malakir",3.0,['Black'],['B'],['Legendary'],['Creature'],"['Vampire', 'Ally']",Mythic,PBFZ,2,3,None,"Flying, first strike\nWhenever Drana, Liberator of Malakir deals combat damage to a player, put a +1/+1 counter on each attacking creature you control."
"Omnath, Locus of Rage",7.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],['Elemental'],Mythic,PBFZ,5,5,None,"Landfall — Whenever a land enters the battlefield under your control, create a 5/5 red and green Elemental creature token.\nWhenever Omnath, Locus of Rage or another Elemental you control dies, Omnath deals 3 damage to any target."
