Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sulfur Falls,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PDOM,None,None,None,Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain.\n{T}: Add {U} or {R}.
Isolated Chapel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,PDOM,None,None,None,Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.\n{T}: Add {W} or {B}.
Hinterland Harbor,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PDOM,None,None,None,Hinterland Harbor enters the battlefield tapped unless you control a Forest or an Island.\n{T}: Add {G} or {U}.
Clifftop Retreat,0.0,None,"['R', 'W']",None,['Land'],None,Rare,PDOM,None,None,None,Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.\n{T}: Add {R} or {W}.
Cabal Stronghold,0.0,None,['B'],None,['Land'],None,Rare,PDOM,None,None,None,"{T}: Add {C}.\n{3}, {T}: Add {B} for each basic Swamp you control."
Weatherlight,4.0,None,None,['Legendary'],['Artifact'],['Vehicle'],Mythic,PDOM,4,5,None,"Flying\nWhenever Weatherlight deals combat damage to a player, look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)\nCrew 3"
"Traxos, Scourge of Kroog",4.0,None,None,['Legendary'],"['Artifact', 'Creature']",['Construct'],Rare,PDOM,7,7,None,"Trample\nTraxos, Scourge of Kroog enters the battlefield tapped and doesn't untap during your untap step.\nWhenever you cast a historic spell, untap Traxos. (Artifacts, legendaries, and Sagas are historic.)"
Thran Temporal Gateway,4.0,None,None,['Legendary'],['Artifact'],None,Rare,PDOM,None,None,None,"{4}, {T}: You may put a historic permanent card from your hand onto the battlefield. (Artifacts, legendaries, and Sagas are historic.)"
Mox Amber,0.0,None,None,['Legendary'],['Artifact'],None,Mythic,PDOM,None,None,None,{T}: Add one mana of any color among legendary creatures and planeswalkers you control.
Mishra's Self-Replicator,5.0,None,None,None,"['Artifact', 'Creature']",['Assembly-Worker'],Rare,PDOM,2,2,None,"Whenever you cast a historic spell, you may pay {1}. If you do, create a token that's a copy of Mishra's Self-Replicator. (Artifacts, legendaries, and Sagas are historic.)"
History of Benalia,3.0,['White'],['W'],None,['Enchantment'],['Saga'],Mythic,PDOM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI, II — Create a 2/2 white Knight creature token with vigilance.\nIII — Knights you control get +2/+1 until end of turn."
Helm of the Host,4.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PDOM,None,None,None,"At the beginning of combat on your turn, create a token that's a copy of equipped creature, except the token isn't legendary if equipped creature is legendary. That token gains haste.\nEquip {5}"
Gilded Lotus,5.0,None,None,None,['Artifact'],None,Rare,PDOM,None,None,None,{T}: Add three mana of any one color.
Forebear's Blade,3.0,None,None,None,['Artifact'],['Equipment'],Rare,PDOM,None,None,None,"Equipped creature gets +3/+0 and has vigilance and trample.\nWhenever equipped creature dies, attach Forebear's Blade to target creature you control.\nEquip {3}"
Blackblade Reforged,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PDOM,None,None,None,Equipped creature gets +1/+1 for each land you control.\nEquip legendary creature {3}\nEquip {7}
"Tiana, Ship's Caretaker",5.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Angel', 'Artificer']",Uncommon,PDOM,3,3,None,"Flying, first strike\nWhenever an Aura or Equipment you control is put into a graveyard from the battlefield, you may return that card to its owner's hand at the beginning of the next end step."
"Teferi, Hero of Dominaria",5.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Planeswalker'],['Teferi'],Mythic,PDOM,None,None,4,"[+1]: Draw a card. At the beginning of the next end step, untap up to two lands.\n[−3]: Put target nonland permanent into its owner's library third from the top.\n[−8]: You get an emblem with ""Whenever you draw a card, exile target permanent an opponent controls."""
"Tatyova, Benthic Druid",5.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Druid']",Uncommon,PDOM,3,3,None,"Whenever a land enters the battlefield under your control, you gain 1 life and draw a card."
"Slimefoot, the Stowaway",3.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],['Fungus'],Uncommon,PDOM,2,3,None,"Whenever a Saproling you control dies, Slimefoot, the Stowaway deals 1 damage to each opponent and you gain 1 life.\n{4}: Create a 1/1 green Saproling creature token."
"Shanna, Sisay's Legacy",2.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,PDOM,0,0,None,"Shanna, Sisay's Legacy can't be the target of abilities your opponents control.\nShanna gets +1/+1 for each creature you control."
"Rona, Disciple of Gix",3.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Uncommon,PDOM,2,2,None,"When Rona, Disciple of Gix enters the battlefield, you may exile target historic card from your graveyard. (Artifacts, legendaries, and Sagas are historic.)\nYou may cast spells from among cards exiled with Rona.\n{4}, {T}: Exile the top card of your library."
"Raff Capashen, Ship's Mage",4.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Uncommon,PDOM,3,3,None,"Flash\nFlying\nYou may cast historic spells as though they had flash. (Artifacts, legendaries, and Sagas are historic.)"
Primevals' Glorious Rebirth,7.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Sorcery'],None,Rare,PDOM,None,None,None,(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)\nReturn all legendary permanent cards from your graveyard to the battlefield.
Oath of Teferi,5.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Enchantment'],None,Rare,PDOM,None,None,None,"When Oath of Teferi enters the battlefield, exile another target permanent you control. Return it to the battlefield under its owner's control at the beginning of the next end step.\nYou may activate the loyalty abilities of planeswalkers you control twice each turn rather than only once."
"Karn, Scion of Urza",4.0,None,None,['Legendary'],['Planeswalker'],['Karn'],Mythic,PDOM,None,None,5,"[+1]: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.\n[−1]: Put a card you own with a silver counter on it from exile into your hand.\n[−2]: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."""
"Muldrotha, the Gravetide",6.0,"['Black', 'Green', 'Blue']","['B', 'G', 'U']",['Legendary'],['Creature'],"['Elemental', 'Avatar']",Mythic,PDOM,6,6,None,"During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)"
"Jodah, Archmage Eternal",4.0,"['Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,PDOM,4,3,None,Flying\nYou may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you cast.
Lich's Mastery,6.0,['Black'],['B'],['Legendary'],['Enchantment'],None,Rare,PDOM,None,None,None,"Hexproof\nYou can't lose the game.\nWhenever you gain life, draw that many cards.\nWhenever you lose life, for each 1 life you lost, exile a permanent you control or a card from your hand or graveyard.\nWhen Lich's Mastery leaves the battlefield, you lose the game."
"Garna, the Bloodflame",5.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior']",Uncommon,PDOM,3,3,None,"Flash\nWhen Garna, the Bloodflame enters the battlefield, return to your hand all creature cards in your graveyard that were put there from anywhere this turn.\nOther creatures you control have haste."
"Kazarov, Sengir Pureblood",7.0,['Black'],"['B', 'R']",['Legendary'],['Creature'],['Vampire'],Rare,PDOM,4,4,None,"Flying\nWhenever a creature an opponent controls is dealt damage, put a +1/+1 counter on Kazarov, Sengir Pureblood.\n{3}{R}: Kazarov deals 2 damage to target creature."
"Hallar, the Firefletcher",3.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Archer']",Uncommon,PDOM,3,3,None,"Trample\nWhenever you cast a spell, if that spell was kicked, put a +1/+1 counter on Hallar, the Firefletcher, then Hallar deals damage equal to the number of +1/+1 counters on it to each opponent."
"Naru Meha, Master Wizard",4.0,['Blue'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,PDOM,3,3,None,"Flash\nWhen Naru Meha, Master Wizard enters the battlefield, copy target instant or sorcery spell you control. You may choose new targets for the copy.\nOther Wizards you control get +1/+1."
"Jhoira, Weatherlight Captain",4.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,PDOM,3,3,None,"Whenever you cast a historic spell, draw a card. (Artifacts, legendaries, and Sagas are historic.)"
Cast Down,2.0,['Black'],['B'],None,['Instant'],None,Uncommon,PDOM,None,None,None,Destroy target nonlegendary creature.
Grand Warlord Radha,4.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Rare,PDOM,3,4,None,"Haste\nWhenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end."
Dread Shade,3.0,['Black'],['B'],None,['Creature'],['Shade'],Rare,PDOM,3,3,None,{B}: Dread Shade gets +1/+1 until end of turn.
