Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Avatar of the Resolute,2.0,['Green'],['G'],None,['Creature'],['Avatar'],Rare,PDTK,3,2,None,"Reach, trample\nAvatar of the Resolute enters the battlefield with a +1/+1 counter on it for each other creature you control with a +1/+1 counter on it."
Ojutai's Command,4.0,"['Blue', 'White']","['U', 'W']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Return target creature card with mana value 2 or less from your graveyard to the battlefield.\n• You gain 4 life.\n• Counter target creature spell.\n• Draw a card.
Necromaster Dragon,5.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],['Dragon'],Rare,PDTK,4,4,None,"Flying\nWhenever Necromaster Dragon deals combat damage to a player, you may pay {2}. If you do, create a 2/2 black Zombie creature token and each opponent mills two cards."
Kolaghan's Command,3.0,"['Black', 'Red']","['B', 'R']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Return target creature card from your graveyard to your hand.\n• Target player discards a card.\n• Destroy target artifact.\n• Kolaghan's Command deals 2 damage to any target.
Harbinger of the Hunt,5.0,"['Green', 'Red']","['G', 'R']",None,['Creature'],['Dragon'],Rare,PDTK,5,3,None,Flying\n{2}{R}: Harbinger of the Hunt deals 1 damage to each creature without flying.\n{2}{G}: Harbinger of the Hunt deals 1 damage to each other creature with flying.
Dromoka's Command,2.0,"['Green', 'White']","['G', 'W']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Prevent all damage target instant or sorcery spell would deal this turn.\n• Target player sacrifices an enchantment.\n• Put a +1/+1 counter on target creature.\n• Target creature you control fights target creature you don't control.
Dragonlord Silumgar,6.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,3,5,None,"Flying, deathtouch\nWhen Dragonlord Silumgar enters the battlefield, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar."
Pitiless Horde,3.0,['Black'],['B'],None,['Creature'],"['Orc', 'Berserker']",Rare,PDTK,5,3,None,"At the beginning of your upkeep, you lose 2 life.\nDash {2}{B}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Dragonlord Ojutai,5.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,5,4,None,"Flying\nDragonlord Ojutai has hexproof as long as it's untapped.\nWhenever Dragonlord Ojutai deals combat damage to a player, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order."
Dragonlord Kolaghan,6.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,6,5,None,"Flying, haste\nOther creatures you control have haste.\nWhenever an opponent casts a creature or planeswalker spell with the same name as a card in their graveyard, that player loses 10 life."
Deathbringer Regent,7.0,['Black'],['B'],None,['Creature'],['Dragon'],Rare,PDTK,5,6,None,"Flying\nWhen Deathbringer Regent enters the battlefield, if you cast it from your hand and there are five or more other creatures on the battlefield, destroy all other creatures."
Damnable Pact,2.0,['Black'],['B'],None,['Sorcery'],None,Rare,PDTK,None,None,None,Target player draws X cards and loses X life.
Ire Shaman,2.0,['Red'],['R'],None,['Creature'],"['Orc', 'Shaman']",Rare,PDTK,2,1,None,"Menace (This creature can't be blocked except by two or more creatures.)\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Ire Shaman is turned face up, exile the top card of your library. Until end of turn, you may play that card."
Dragonlord Dromoka,6.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,5,7,None,"This spell can't be countered.\nFlying, lifelink\nYour opponents can't cast spells during your turn."
Blood-Chin Fanatic,3.0,['Black'],['B'],None,['Creature'],"['Orc', 'Warrior']",Rare,PDTK,3,3,None,"{1}{B}, Sacrifice another Warrior creature: Target player loses X life and you gain X life, where X is the sacrificed creature's power."
Dragonlord Atarka,7.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PDTK,8,8,None,"Flying, trample\nWhen Dragonlord Atarka enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control."
Stratus Dancer,2.0,['Blue'],['U'],None,['Creature'],"['Djinn', 'Monk']",Rare,PDTK,2,1,None,"Flying\nMegamorph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Stratus Dancer is turned face up, counter target instant or sorcery spell."
Zurgo Bellstriker,1.0,['Red'],['R'],['Legendary'],['Creature'],"['Orc', 'Warrior']",Rare,PDTK,2,2,None,"Zurgo Bellstriker can't block creatures with power 2 or greater.\nDash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Profaner of the Dead,4.0,['Blue'],['U'],None,['Creature'],"['Naga', 'Wizard']",Rare,PDTK,3,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Profaner of the Dead exploits a creature, return to their owners' hands all creatures your opponents control with toughness less than the exploited creature's toughness."
Boltwing Marauder,5.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],['Dragon'],Rare,PDTK,5,4,None,"Flying\nWhenever another creature enters the battlefield under your control, target creature gets +2/+0 until end of turn."
"Sidisi, Undead Vizier",5.0,['Black'],['B'],['Legendary'],['Creature'],"['Zombie', 'Naga']",Rare,PDTK,4,6,None,"Deathtouch\nExploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Sidisi, Undead Vizier exploits a creature, you may search your library for a card, put it into your hand, then shuffle."
Atarka's Command,2.0,"['Green', 'Red']","['G', 'R']",None,['Instant'],None,Rare,PDTK,None,None,None,Choose two —\n• Your opponents can't gain life this turn.\n• Atarka's Command deals 3 damage to each opponent.\n• You may put a land card from your hand onto the battlefield.\n• Creatures you control get +1/+1 and gain reach until end of turn.
Living Lore,4.0,['Blue'],['U'],None,['Creature'],['Avatar'],Rare,PDTK,*,*,None,"As Living Lore enters the battlefield, exile an instant or sorcery card from your graveyard.\nLiving Lore's power and toughness are each equal to the exiled card's mana value.\nWhenever Living Lore deals combat damage, you may sacrifice it. If you do, you may cast the exiled card without paying its mana cost."
Icefall Regent,5.0,['Blue'],['U'],None,['Creature'],['Dragon'],Rare,PDTK,4,3,None,"Flying\nWhen Icefall Regent enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Icefall Regent.\nSpells your opponents cast that target Icefall Regent cost {2} more to cast."
