Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Maelstrom Pulse,3.0,"['Black', 'Green']","['B', 'G']",None,['Sorcery'],None,Rare,PGPX,None,None,None,Destroy target nonland permanent and all other permanents with the same name as that permanent.
Griselbrand,8.0,['Black'],['B'],['Legendary'],['Creature'],['Demon'],Mythic,PGPX,7,7,None,"Flying, lifelink\nPay 7 life: Draw seven cards."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Rare,PGPX,None,None,None,({T}: Add {R}.)
Call of the Herd,3.0,['Green'],['G'],None,['Sorcery'],None,Rare,PGPX,None,None,None,Create a 3/3 green Elephant creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Chrome Mox,0.0,None,None,None,['Artifact'],None,Rare,PGPX,None,None,None,"Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.\n{T}: Add one mana of any of the exiled card's colors."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Rare,PGPX,None,None,None,({T}: Add {G}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Rare,PGPX,None,None,None,({T}: Add {W}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Rare,PGPX,None,None,None,({T}: Add {B}.)
Stoneforge Mystic,2.0,['White'],['W'],None,['Creature'],"['Kor', 'Artificer']",Rare,PGPX,1,2,None,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle.\n{1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield."
Sword of Feast and Famine,3.0,None,None,None,['Artifact'],['Equipment'],Rare,PGPX,None,None,None,"Equipped creature gets +2/+2 and has protection from black and from green.\nWhenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.\nEquip {2}"
Goblin Guide,1.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Scout']",Rare,PGPX,2,2,None,"Haste\nWhenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand."
Umezawa's Jitte,2.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PGPX,None,None,None,"Whenever equipped creature deals combat damage, put two charge counters on Umezawa's Jitte.\nRemove a charge counter from Umezawa's Jitte: Choose one —\n• Equipped creature gets +2/+2 until end of turn.\n• Target creature gets -1/-1 until end of turn.\n• You gain 2 life.\nEquip {2}"
Lotus Cobra,2.0,['Green'],['G'],None,['Creature'],['Snake'],Rare,PGPX,2,1,None,"Landfall — Whenever a land enters the battlefield under your control, add one mana of any color."
Mutavault,0.0,None,None,None,['Land'],None,Rare,PGPX,None,None,None,{T}: Add {C}.\n{1}: Mutavault becomes a 2/2 creature with all creature types until end of turn. It's still a land.
Spiritmonger,5.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],['Beast'],Rare,PGPX,6,6,None,"Whenever Spiritmonger deals damage to a creature, put a +1/+1 counter on Spiritmonger.\n{B}: Regenerate Spiritmonger.\n{G}: Spiritmonger becomes the color of your choice until end of turn."
Progenitus,10.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Hydra', 'Avatar']",Mythic,PGPX,10,10,None,"Protection from everything\nIf Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead."
All Is Dust,7.0,None,None,None,"['Tribal', 'Sorcery']",['Eldrazi'],Rare,PGPX,None,None,None,Each player sacrifices all permanents they control that are one or more colors.
Batterskull,5.0,None,None,None,['Artifact'],['Equipment'],Mythic,PGPX,None,None,None,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +4/+4 and has vigilance and lifelink.\n{3}: Return Batterskull to its owner's hand.\nEquip {5}"
Primeval Titan,6.0,['Green'],['G'],None,['Creature'],['Giant'],Mythic,PGPX,6,6,None,"Trample\nWhenever Primeval Titan enters the battlefield or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Rare,PGPX,None,None,None,({T}: Add {U}.)
