Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Burning-Rune Demon,6.0,['Black'],['B'],None,['Creature'],"['Demon', 'Berserker']",Mythic,PKHM,6,6,None,"Flying\nWhen Burning-Rune Demon enters the battlefield, you may search your library for exactly two cards not named Burning-Rune Demon that have different names. If you do, reveal those cards. An opponent chooses one of them. Put the chosen card into your hand and the other into your graveyard, then shuffle."
"Sigrid, God-Favored",3.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,PKHM,2,2,None,"Flash\nFirst strike, protection from God creatures\nWhen Sigrid, God-Favored enters the battlefield, exile up to one target attacking or blocking creature until Sigrid leaves the battlefield."
Blood on the Snow,6.0,['Black'],['B'],['Snow'],['Sorcery'],None,Rare,PKHM,None,None,None,"Choose one —\n• Destroy all creatures.\n• Destroy all planeswalkers.\nThen return a creature or planeswalker card with mana value X or less from your graveyard to the battlefield, where X is the amount of {S} spent to cast this spell. ({S} is mana from a snow source.)"
Waking the Trolls,6.0,"['Green', 'Red']","['G', 'R']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Destroy target land.\nII — Put target land card from a graveyard onto the battlefield under your control.\nIII — Choose target opponent. If they control fewer lands than you, create a number of 4/4 green Troll Warrior creature tokens with trample equal to the difference."
The World Tree,0.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Land'],None,Rare,PKHM,None,None,None,"The World Tree enters the battlefield tapped.\n{T}: Add {G}.\nAs long as you control six or more lands, lands you control have ""{T}: Add one mana of any color.""\n{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice The World Tree: Search your library for any number of God cards, put them onto the battlefield, then shuffle."
Cosmos Charger,4.0,['Blue'],['U'],None,['Creature'],"['Horse', 'Spirit']",Rare,PKHM,3,3,None,"Flash\nFlying\nForetelling cards from your hand costs {1} less and can be done on any player's turn.\nForetell {2}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Resplendent Marshal,3.0,['White'],['W'],None,['Creature'],"['Angel', 'Warrior']",Mythic,PKHM,3,3,None,"Flying\nWhen Resplendent Marshal enters the battlefield or dies, you may exile another creature card from your graveyard. When you do, put a +1/+1 counter on each creature you control other than Resplendent Marshal that shares a creature type with the exiled card."
Showdown of the Skalds,4.0,"['Red', 'White']","['R', 'W']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Exile the top four cards of your library. Until the end of your next turn, you may play those cards.\nII, III — Whenever you cast a spell this turn, put a +1/+1 counter on target creature you control."
"Orvar, the All-Form",4.0,['Blue'],['U'],['Legendary'],['Creature'],['Shapeshifter'],Mythic,PKHM,3,3,None,"Changeling\nWhenever you cast an instant or sorcery spell, if it targets one or more other permanents you control, create a token that's a copy of one of those permanents.\nWhen a spell or ability an opponent controls causes you to discard this card, create a token that's a copy of target permanent."
Runeforge Champion,3.0,['White'],['W'],None,['Creature'],"['Dwarf', 'Warrior']",Rare,PKHM,2,3,None,"When Runeforge Champion enters the battlefield, you may search your library and/or graveyard for a Rune card, reveal it, and put it into your hand. If you search your library this way, shuffle.\nYou may pay {1} rather than pay the mana cost for Rune spells you cast."
Reflections of Littjara,5.0,['Blue'],['U'],None,['Enchantment'],None,Rare,PKHM,None,None,None,"As Reflections of Littjara enters the battlefield, choose a creature type.\nWhenever you cast a spell of the chosen type, copy that spell. (A copy of a permanent spell becomes a token.)"
"Sarulf, Realm Eater",3.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Creature'],['Wolf'],Rare,PKHM,3,3,None,"Whenever a permanent an opponent controls is put into a graveyard from the battlefield, put a +1/+1 counter on Sarulf, Realm Eater.\nAt the beginning of your upkeep, if Sarulf has one or more +1/+1 counters on it, you may remove all of them. If you do, exile each other nonland permanent with mana value less than or equal to the number of counters removed this way."
Darkbore Pathway // Slitherbore Pathway,0.0,None,"['B', 'G']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {G}.
Maskwood Nexus,4.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"Creatures you control are every creature type. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.\n{3}, {T}: Create a 2/2 blue Shapeshifter creature token with changeling. (It is every creature type.)"
"Reidane, God of the Worthy // Valkmira, Protector's Shield",4.0,['White'],['W'],['Legendary'],['Artifact'],None,Rare,PKHM,None,None,None,"If a source an opponent controls would deal damage to you or a permanent you control, prevent 1 of that damage.\nWhenever you or another permanent you control becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {1}."
Mystic Reflection,2.0,['Blue'],['U'],None,['Instant'],None,Rare,PKHM,None,None,None,"Choose target nonlegendary creature. The next time one or more creatures or planeswalkers enter the battlefield this turn, they enter as copies of the chosen creature.\nForetell {U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Graven Lore,5.0,['Blue'],['U'],['Snow'],['Instant'],None,Rare,PKHM,None,None,None,"Scry X, where X is the amount of {S} spent to cast this spell, then draw three cards. ({S} is mana from a snow source.)"
Hengegate Pathway // Mistgate Pathway,0.0,None,"['U', 'W']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {U}.
Icebreaker Kraken,12.0,['Blue'],['U'],['Snow'],['Creature'],['Kraken'],Rare,PKHM,8,8,None,"This spell costs {1} less to cast for each snow land you control.\nWhen Icebreaker Kraken enters the battlefield, artifacts and creatures target opponent controls don't untap during that player's next untap step.\nReturn three snow lands you control to their owner's hand: Return Icebreaker Kraken to its owner's hand."
Faceless Haven,0.0,None,None,['Snow'],['Land'],None,Rare,PKHM,None,None,None,{T}: Add {C}.\n{S}{S}{S}: Faceless Haven becomes a 4/3 creature with vigilance and all creature types until end of turn. It's still a land. ({S} can be paid with one mana from a snow source.)
The Bears of Littjara,3.0,"['Green', 'Blue']","['G', 'U']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create a 2/2 blue Shapeshifter creature token with changeling.\nII — Any number of target Shapeshifter creatures you control have base power and toughness 4/4.\nIII — Choose up to one target creature or planeswalker. Each creature with power 4 or greater you control deals damage equal to its power to that permanent."
Blightstep Pathway // Searstep Pathway,0.0,None,"['B', 'R']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {R}.
Harald Unites the Elves,4.0,"['Black', 'Green']","['B', 'G']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Mill three cards. You may put an Elf or Tyvar card from your graveyard onto the battlefield.\nII — Put a +1/+1 counter on each Elf you control.\nIII — Whenever an Elf you control attacks this turn, target creature an opponent controls gets -1/-1 until end of turn."
Search for Glory,3.0,['White'],['W'],['Snow'],['Sorcery'],None,Rare,PKHM,None,None,None,"Search your library for a snow permanent card, a legendary card, or a Saga card, reveal it, put it into your hand, then shuffle. You gain 1 life for each {S} spent to cast this spell. ({S} is mana from a snow source.)"
Righteous Valkyrie,3.0,['White'],['W'],None,['Creature'],"['Angel', 'Cleric']",Rare,PKHM,2,4,None,"Flying\nWhenever another Angel or Cleric enters the battlefield under your control, you gain life equal to that creature's toughness.\nAs long as you have at least 7 life more than your starting life total, creatures you control get +2/+2."
Pyre of Heroes,2.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"{2}, {T}, Sacrifice a creature: Search your library for a creature card that shares a creature type with the sacrificed creature and has mana value equal to 1 plus that creature's mana value. Put that card onto the battlefield, then shuffle. Activate only as a sorcery."
Cosmos Elixir,4.0,None,None,None,['Artifact'],None,Rare,PKHM,None,None,None,"At the beginning of your end step, draw a card if your life total is greater than your starting life total. Otherwise, you gain 2 life."
Cyclone Summoner,7.0,['Blue'],['U'],None,['Creature'],"['Giant', 'Wizard']",Rare,PKHM,7,7,None,"When Cyclone Summoner enters the battlefield, if you cast it from your hand, return all permanents to their owners' hands except for Giants, Wizards, and lands."
The Bloodsky Massacre,3.0,"['Black', 'Red']","['B', 'R']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create a 2/3 red Demon Berserker creature token with menace.\nII — Whenever a Berserker attacks this turn, you draw a card and you lose 1 life.\nIII — Add {R} for each Berserker you control. Until end of turn, you don't lose this mana as steps and phases end."
"Cosima, God of the Voyage // The Omenkeel",2.0,['Blue'],['U'],['Legendary'],['Artifact'],['Vehicle'],Rare,PKHM,3,3,None,"Whenever a Vehicle you control deals combat damage to a player, that player exiles that many cards from the top of their library. You may play lands from among those cards for as long as they remain exiled.\nCrew 1"
Tyrite Sanctum,0.0,None,None,None,['Land'],None,Rare,PKHM,None,None,None,"{T}: Add {C}.\n{2}, {T}: Target legendary creature becomes a God in addition to its other types. Put a +1/+1 counter on it.\n{4}, {T}, Sacrifice Tyrite Sanctum: Put an indestructible counter on target God."
Battle of Frost and Fire,5.0,"['Red', 'Blue']","['R', 'U']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Battle of Frost and Fire deals 4 damage to each non-Giant creature and each planeswalker.\nII — Scry 3.\nIII — Whenever you cast a spell with mana value 5 or greater this turn, draw two cards, then discard a card."
Barkchannel Pathway // Tidechannel Pathway,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PKHM,None,None,None,{T}: Add {U}.
Rally the Ranks,2.0,['White'],['W'],None,['Enchantment'],None,Rare,PKHM,None,None,None,"As Rally the Ranks enters the battlefield, choose a creature type.\nCreatures you control of the chosen type get +1/+1."
The Raven's Warning,3.0,"['Blue', 'White']","['U', 'W']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create a 1/1 blue Bird creature token with flying. You gain 2 life.\nII — Whenever one or more creatures you control with flying deal combat damage to a player this turn, look at that player's hand and draw a card.\nIII — You may put a card you own from outside the game on top of your library."
Starnheim Unleashed,4.0,['White'],['W'],None,['Sorcery'],None,Mythic,PKHM,None,None,None,"Create a 4/4 white Angel Warrior creature token with flying and vigilance. If this spell was foretold, create X of those tokens instead.\nForetell {X}{X}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
Firja's Retribution,4.0,"['Black', 'White']","['B', 'W']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create a 4/4 white Angel Warrior creature token with flying and vigilance.\nII — Until end of turn, Angels you control gain ""{T}: Destroy target creature with power less than this creature's power.""\nIII — Angels you control gain double strike until end of turn."
Niko Aris,3.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Planeswalker'],['Niko'],Mythic,PKHM,None,None,3,"When Niko Aris enters the battlefield, create X Shard tokens. (They're enchantments with ""{2}, Sacrifice this enchantment: Scry 1, then draw a card."")\n[+1]: Up to one target creature you control can't be blocked this turn. Whenever that creature deals damage this turn, return it to its owner's hand.\n[−1]: Niko Aris deals 2 damage to target tapped creature for each card you've drawn this turn.\n[−1]: Create a Shard token."
Ascendant Spirit,1.0,['Blue'],['U'],['Snow'],['Creature'],['Spirit'],Rare,PKHM,1,1,None,"{S}{S}: Ascendant Spirit becomes a Spirit Warrior with base power and toughness 2/3.\n{S}{S}{S}: If Ascendant Spirit is a Warrior, put a flying counter on it and it becomes a Spirit Warrior Angel with base power and toughness 4/4.\n{S}{S}{S}{S}: If Ascendant Spirit is an Angel, put two +1/+1 counters on it and it gains ""Whenever this creature deals combat damage to a player, draw a card."""
"Koma, Cosmos Serpent",7.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],['Serpent'],Mythic,PKHM,6,6,None,"This spell can't be countered.\nAt the beginning of each upkeep, create a 3/3 blue Serpent creature token named Koma's Coil.\nSacrifice another Serpent: Choose one —\n• Tap target permanent. Its activated abilities can't be activated this turn.\n• Koma, Cosmos Serpent gains indestructible until end of turn."
Alrund's Epiphany,7.0,['Blue'],['U'],None,['Sorcery'],None,Mythic,PKHM,None,None,None,"Create two 1/1 blue Bird creature tokens with flying. Take an extra turn after this one. Exile Alrund's Epiphany.\nForetell {4}{U}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
King Narfi's Betrayal,3.0,"['Black', 'Blue']","['B', 'U']",None,['Enchantment'],['Saga'],Rare,PKHM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Each player mills four cards. Then you may exile a creature or planeswalker card from each graveyard.\nII, III — Until end of turn, you may cast spells from among cards exiled with King Narfi's Betrayal, and you may spend mana as though it were mana of any color to cast those spells."
"Alrund, God of the Cosmos // Hakka, Whispering Raven",2.0,['Blue'],['U'],['Legendary'],['Creature'],['Bird'],Mythic,PKHM,2,3,None,"Flying\nWhenever Hakka, Whispering Raven deals combat damage to a player, return it to its owner's hand, then scry 2."
Kaya the Inexorable,5.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Planeswalker'],['Kaya'],Mythic,PKHM,None,None,5,"[+1]: Put a ghostform counter on up to one target nontoken creature. It gains ""When this creature dies or is put into exile, return it to its owner's hand and create a 1/1 white Spirit creature token with flying.""\n[−3]: Exile target nonland permanent.\n[−7]: You get an emblem with ""At the beginning of your upkeep, you may cast a legendary spell from your hand, from your graveyard, or from among cards you own in exile without paying its mana cost."""
Immersturm Predator,4.0,"['Black', 'Red']","['B', 'R']",None,['Creature'],"['Vampire', 'Dragon']",Rare,PKHM,3,3,None,"Flying\nWhenever Immersturm Predator becomes tapped, exile up to one target card from a graveyard and put a +1/+1 counter on Immersturm Predator.\nSacrifice another creature: Immersturm Predator gains indestructible until end of turn. Tap it."
Dragonkin Berserker,2.0,['Red'],['R'],None,['Creature'],"['Human', 'Berserker']",Rare,PKHM,2,2,None,First strike\nBoast abilities you activate cost {1} less to activate for each Dragon you control.\nBoast — {4}{R}: Create a 5/5 red Dragon creature token with flying. (Activate only if this creature attacked this turn and only once each turn.)
Blessing of Frost,4.0,['Green'],['G'],['Snow'],['Sorcery'],None,Rare,PKHM,None,None,None,"Distribute X +1/+1 counters among any number of creatures you control, where X is the amount of {S} spent to cast this spell. Then draw a card for each creature you control with power 4 or greater."
Fiendish Duo,6.0,['Red'],['R'],None,['Creature'],['Devil'],Mythic,PKHM,5,5,None,"First strike\nIf a source would deal damage to an opponent, it deals double that damage to that player instead."
Battle Mammoth,5.0,['Green'],['G'],None,['Creature'],['Elephant'],Mythic,PKHM,6,5,None,"Trample\nWhenever a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card.\nForetell {2}{G}{G} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
"Magda, Brazen Outlaw",2.0,['Red'],['R'],['Legendary'],['Creature'],"['Dwarf', 'Berserker']",Rare,PKHM,2,1,None,"Other Dwarves you control get +1/+0.\nWhenever a Dwarf you control becomes tapped, create a Treasure token.\nSacrifice five Treasures: Search your library for an artifact or Dragon card, put that card onto the battlefield, then shuffle."
Skemfar Avenger,2.0,['Black'],['B'],None,['Creature'],"['Elf', 'Berserker']",Rare,PKHM,3,1,None,"Whenever another nontoken Elf or Berserker you control dies, you draw a card and you lose 1 life."
Tyvar Kell,4.0,['Green'],"['B', 'G']",['Legendary'],['Planeswalker'],['Tyvar'],Mythic,PKHM,None,None,3,"Elves you control have ""{T}: Add {B}.""\n[+1]: Put a +1/+1 counter on up to one target Elf. Untap it. It gains deathtouch until end of turn.\n[0]: Create a 1/1 green Elf Warrior creature token.\n[−6]: You get an emblem with ""Whenever you cast an Elf spell, it gains haste until end of turn and you draw two cards."""
Calamity Bearer,4.0,['Red'],['R'],None,['Creature'],"['Giant', 'Berserker']",Rare,PKHM,3,4,None,"If a Giant source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
