Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Darksteel Juggernaut,5.0,None,None,None,"['Artifact', 'Creature']",['Juggernaut'],Rare,PMEI,*,*,None,Indestructible\nDarksteel Juggernaut's power and toughness are each equal to the number of artifacts you control.\nDarksteel Juggernaut attacks each combat if able.
Crop Rotation,1.0,['Green'],['G'],None,['Instant'],None,Rare,PMEI,None,None,None,"As an additional cost to cast this spell, sacrifice a land.\nSearch your library for a land card, put that card onto the battlefield, then shuffle."
Phantasmal Dragon,4.0,['Blue'],['U'],None,['Creature'],"['Dragon', 'Illusion']",Uncommon,PMEI,5,5,None,"Flying\nWhen Phantasmal Dragon becomes the target of a spell or ability, sacrifice it."
Duress,1.0,['Black'],['B'],None,['Sorcery'],None,Rare,PMEI,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Cast Down,2.0,['Black'],['B'],None,['Instant'],None,Uncommon,PMEI,None,None,None,Destroy target nonlegendary creature.
Shock,1.0,['Red'],['R'],None,['Instant'],None,Rare,PMEI,None,None,None,Shock deals 2 damage to any target.
Lava Coil,2.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,PMEI,None,None,None,"Lava Coil deals 4 damage to target creature. If that creature would die this turn, exile it instead."
Hypnotic Sprite // Mesmeric Glare,2.0,['Blue'],['U'],None,['Creature'],['Faerie'],Rare,PMEI,2,1,None,Flying
Warmonger,4.0,['Red'],['R'],None,['Creature'],"['Minotaur', 'Monger']",Uncommon,PMEI,3,3,None,{2}: Warmonger deals 1 damage to each creature without flying and each player. Any player may activate this ability.
Diabolic Edict,2.0,['Black'],['B'],None,['Instant'],None,Rare,PMEI,None,None,None,Target player sacrifices a creature.
Shivan Dragon,6.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,PMEI,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Counterspell,2.0,['Blue'],['U'],None,['Instant'],None,Rare,PMEI,None,None,None,Counter target spell.
Phyrexian Rager,3.0,['Black'],['B'],None,['Creature'],"['Phyrexian', 'Horror']",Common,PMEI,2,2,None,"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life."
Shrieking Drake,1.0,['Blue'],['U'],None,['Creature'],['Drake'],Common,PMEI,1,1,None,"Flying\nWhen Shrieking Drake enters the battlefield, return a creature you control to its owner's hand."
Ascendant Evincar,6.0,['Black'],['B'],['Legendary'],['Creature'],"['Phyrexian', 'Vampire', 'Noble']",Rare,PMEI,3,3,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nOther black creatures get +1/+1.\nNonblack creatures get -1/-1.
Archangel,7.0,['White'],['W'],None,['Creature'],['Angel'],Rare,PMEI,5,5,None,"Flying, vigilance"
Sprite Dragon,2.0,"['Red', 'Blue']","['R', 'U']",None,['Creature'],"['Faerie', 'Dragon']",Rare,PMEI,1,1,None,"Flying, haste\nWhenever you cast a noncreature spell, put a +1/+1 counter on Sprite Dragon."
Parallax Dementia,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,PMEI,None,None,None,"Enchant creature\nFading 1 (This enchantment enters the battlefield with one fade counter on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nEnchanted creature gets +3/+2.\nWhen Parallax Dementia leaves the battlefield, destroy enchanted creature. That creature can't be regenerated."
Thorn Elemental,7.0,['Green'],['G'],None,['Creature'],['Elemental'],Rare,PMEI,7,7,None,You may have Thorn Elemental assign its combat damage as though it weren't blocked.
Silver Drake,3.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Drake'],Common,PMEI,3,3,None,"Flying\nWhen Silver Drake enters the battlefield, return a white or blue creature you control to its owner's hand."
Tangled Florahedron // Tangled Vale,2.0,['Green'],['G'],None,['Creature'],['Elemental'],Uncommon,PMEI,1,1,None,{T}: Add {G}.
Jamuraan Lion,3.0,['White'],['W'],None,['Creature'],['Cat'],Common,PMEI,3,1,None,"{W}, {T}: Target creature can't block this turn."
Blue Elemental Blast,1.0,['Blue'],['U'],None,['Instant'],None,Common,PMEI,None,None,None,Choose one —\n• Counter target red spell.\n• Destroy target red permanent.
Stream of Life,1.0,['Green'],['G'],None,['Sorcery'],None,Common,PMEI,None,None,None,Target player gains X life.
Chandra's Spitfire,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,PMEI,1,3,None,"Flying\nWhenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn."
Kuldotha Phoenix,5.0,['Red'],['R'],None,['Creature'],['Phoenix'],Rare,PMEI,4,4,None,"Flying, haste\nMetalcraft — {4}: Return Kuldotha Phoenix from your graveyard to the battlefield. Activate only during your upkeep and only if you control three or more artifacts."
Sandbar Crocodile,5.0,['Blue'],['U'],None,['Creature'],['Crocodile'],Common,PMEI,6,5,None,"Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)"
Zhalfirin Knight,3.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Common,PMEI,2,2,None,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)\n{W}{W}: Zhalfirin Knight gains first strike until end of turn."
Dark Ritual,1.0,['Black'],['B'],None,['Instant'],None,Rare,PMEI,None,None,None,Add {B}{B}{B}.
Fireball,1.0,['Red'],['R'],None,['Sorcery'],None,Common,PMEI,None,None,None,"This spell costs {1} more to cast for each target beyond the first.\nFireball deals X damage divided evenly, rounded down, among any number of targets."
Spined Wurm,5.0,['Green'],['G'],None,['Creature'],['Wurm'],Common,PMEI,5,4,None,None
Staggering Insight,2.0,"['Blue', 'White']","['U', 'W']",None,['Enchantment'],['Aura'],Rare,PMEI,None,None,None,"Enchant creature\nEnchanted creature gets +1/+1 and has lifelink and ""Whenever this creature deals combat damage to a player, draw a card."""
Lightning Hounds,4.0,['Red'],['R'],None,['Creature'],['Dog'],Common,PMEI,3,2,None,First strike
Heliod's Pilgrim,3.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,PMEI,1,2,None,"When Heliod's Pilgrim enters the battlefield, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle."
Scent of Cinder,2.0,['Red'],['R'],None,['Sorcery'],None,Common,PMEI,None,None,None,"Reveal any number of red cards in your hand. Scent of Cinder deals X damage to any target, where X is the number of cards revealed this way."
"Daxos, Blessed by the Sun",2.0,['White'],['W'],['Legendary'],"['Enchantment', 'Creature']",['Demigod'],Uncommon,PMEI,2,*,None,"Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)\nWhenever another creature you control enters the battlefield or dies, you gain 1 life."
Voltaic Key,1.0,None,None,None,['Artifact'],None,Rare,PMEI,None,None,None,"{1}, {T}: Untap target artifact."
Chandra's Outrage,4.0,['Red'],['R'],None,['Instant'],None,Common,PMEI,None,None,None,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.
Disenchant,2.0,['White'],['W'],None,['Instant'],None,Rare,PMEI,None,None,None,Destroy target artifact or enchantment.
Bone Shredder,3.0,['Black'],['B'],None,['Creature'],"['Phyrexian', 'Minion']",Rare,PMEI,1,1,None,"Flying\nEcho {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature."
Cunning Sparkmage,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman']",Uncommon,PMEI,0,1,None,Haste\n{T}: Cunning Sparkmage deals 1 damage to any target.
