Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Slogurk, the Overslime",3.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],['Ooze'],Rare,PMID,3,3,None,"Trample\nWhenever a land card is put into your graveyard from anywhere, put a +1/+1 counter on Slogurk, the Overslime.\nRemove three +1/+1 counters from Slogurk: Return it to its owner's hand.\nWhen Slogurk leaves the battlefield, return up to three target land cards from your graveyard to your hand."
Siphon Insight,2.0,"['Black', 'Blue']","['B', 'U']",None,['Instant'],None,Rare,PMID,None,None,None,"Look at the top two cards of target opponent's library. Exile one of them face down and put the other on the bottom of that library. You may look at and play the exiled card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.\nFlashback {1}{U}{B}"
Vanquish the Horde,8.0,['White'],['W'],None,['Sorcery'],None,Rare,PMID,None,None,None,This spell costs {1} less to cast for each creature on the battlefield.\nDestroy all creatures.
Deserted Beach,0.0,None,"['U', 'W']",None,['Land'],None,Rare,PMID,None,None,None,Deserted Beach enters the battlefield tapped unless you control two or more other lands.\n{T}: Add {W} or {U}.
"Teferi, Who Slows the Sunset",4.0,"['Blue', 'White']","['U', 'W']",['Legendary'],['Planeswalker'],['Teferi'],Mythic,PMID,None,None,4,"[+1]: Choose up to one target artifact, up to one target creature, and up to one target land. Untap the chosen permanents you control. Tap the chosen permanents you don't control. You gain 2 life.\n[−2]: Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.\n[−7]: You get an emblem with ""Untap all permanents you control during each opponent's untap step"" and ""You draw a card during each opponent's draw step."""
Sigardian Savior,5.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,PMID,3,3,None,"Flying\nWhen Sigardian Savior enters the battlefield, if you cast it, return up to two target creature cards with mana value 2 or less from your graveyard to the battlefield."
"Sigarda, Champion of Light",4.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,PMID,4,4,None,"Flying, trample\nHumans you control get +1/+1.\nCoven — Whenever Sigarda attacks, if you control three or more creatures with different powers, look at the top five cards of your library. You may reveal a Human creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Spectral Adversary,2.0,['Blue'],['U'],None,['Creature'],['Spirit'],Mythic,PMID,2,1,None,"Flash\nFlying\nWhen Spectral Adversary enters the battlefield, you may pay {1}{U} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Spectral Adversary, then up to that many other target artifacts, creatures, and/or enchantments phase out."
"Rem Karolus, Stalwart Slayer",3.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Knight']",Rare,PMID,2,3,None,"Flying, haste\nIf a spell would deal damage to you or another permanent you control, prevent that damage.\nIf a spell would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 1 instead."
Malevolent Hermit // Benevolent Geist,2.0,['Blue'],['U'],None,['Creature'],"['Spirit', 'Wizard']",Rare,PMID,2,2,None,"Flying\nNoncreature spells you control can't be countered.\nIf Benevolent Geist would be put into a graveyard from anywhere, exile it instead."
