Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Invoke Justice,5.0,['White'],['W'],None,['Sorcery'],None,Rare,PNEO,None,None,None,"Return target permanent card from your graveyard to the battlefield, then distribute four +1/+1 counters among any number of creatures and/or Vehicles target player controls."
"Raiyuu, Storm's Edge",4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Samurai']",Rare,PNEO,3,3,None,"First strike\nWhenever a Samurai or Warrior you control attacks alone, untap it. If it's the first combat phase of the turn, there is an additional combat phase after this phase."
Eater of Virtue,1.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,PNEO,None,None,None,"Whenever equipped creature dies, exile it.\nEquipped creature gets +2/+0.\nAs long as a card exiled with Eater of Virtue has flying, equipped creature has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, and vigilance.\nEquip {1}"
Eiganjo Uprising,2.0,"['Red', 'White']","['R', 'W']",None,['Sorcery'],None,Rare,PNEO,None,None,None,Create X 2/2 white Samurai creature tokens with vigilance. They gain menace and haste until end of turn.\nEach opponent creates X minus one 2/2 white Samurai creature tokens with vigilance.
"Kyodai, Soul of Kamigawa",4.0,['White'],"['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Dragon', 'Spirit']",Rare,PNEO,3,3,None,"Flash\nFlying\nWhen Kyodai, Soul of Kamigawa enters the battlefield, another target permanent gains indestructible for as long as you control Kyodai.\n{W}{U}{B}{R}{G}: Kyodai gets +5/+5 until end of turn."
"Shigeki, Jukai Visionary",2.0,['Green'],['G'],['Legendary'],"['Enchantment', 'Creature']","['Snake', 'Druid']",Rare,PNEO,1,3,None,"{1}{G}, {T}, Return Shigeki, Jukai Visionary to its owner's hand: Reveal the top four cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest into your graveyard.\nChannel — {X}{X}{G}{G}, Discard Shigeki: Return X target nonlegendary cards from your graveyard to your hand."
March of Burgeoning Life,1.0,['Green'],['G'],None,['Instant'],None,Rare,PNEO,None,None,None,"As an additional cost to cast this spell, you may exile any number of green cards from your hand. This spell costs {2} less to cast for each card exiled this way.\nChoose target creature with mana value less than X. Search your library for a creature card with the same name as that creature, put it onto the battlefield tapped, then shuffle."
"Tamiyo, Compleated Sage",5.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Planeswalker'],['Tamiyo'],Mythic,PNEO,None,None,5,"Compleated ({G/U/P} can be paid with {G}, {U}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)\n[+1]: Tap up to one target artifact or creature. It doesn't untap during its controller's next untap step.\n[−X]: Exile target nonland permanent card with mana value X from your graveyard. Create a token that's a copy of that card.\n[−7]: Create Tamiyo's Notebook, a legendary colorless artifact token with ""Spells you cast cost {2} less to cast"" and ""{T}: Draw a card."""
The Kami War // O-Kagachi Made Manifest,6.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",None,"['Enchantment', 'Creature']","['Dragon', 'Spirit']",Mythic,PNEO,6,6,None,"O-Kagachi Made Manifest is all colors.\nFlying, trample\nWhenever O-Kagachi Made Manifest attacks, defending player chooses a nonland card in your graveyard. Return that card to your hand. O-Kagachi Made Manifest gets +X/+0 until end of turn, where X is the mana value of that card."
Kami of Transience,2.0,['Green'],['G'],None,['Creature'],['Spirit'],Rare,PNEO,2,2,None,"Trample\nWhenever you cast an enchantment spell, put a +1/+1 counter on Kami of Transience.\nAt the beginning of each end step, if an enchantment was put into your graveyard from the battlefield this turn, you may return Kami of Transience from your graveyard to your hand."
