Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Outland Colossus,5.0,['Green'],['G'],None,['Creature'],['Giant'],Rare,PRES,6,6,None,"Renown 6 (When this creature deals combat damage to a player, if it isn't renowned, put six +1/+1 counters on it and it becomes renowned.)\nOutland Colossus can't be blocked by more than one creature."
Angelic Skirmisher,6.0,['White'],['W'],None,['Creature'],['Angel'],Rare,PRES,4,4,None,"Flying\nAt the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn."
"Kogla, the Titan Ape",6.0,['Green'],['G'],['Legendary'],['Creature'],['Ape'],Rare,PRES,7,6,None,"When Kogla, the Titan Ape enters the battlefield, it fights up to one target creature you don't control.\nWhenever Kogla attacks, destroy target artifact or enchantment defending player controls.\n{1}{G}: Return target Human you control to its owner's hand. Kogla gains indestructible until end of turn."
Genesis Hydra,2.0,['Green'],['G'],None,['Creature'],"['Plant', 'Hydra']",Rare,PRES,0,0,None,"When you cast this spell, reveal the top X cards of your library. You may put a nonland permanent card with mana value X or less from among them onto the battlefield. Then shuffle the rest into your library.\nGenesis Hydra enters the battlefield with X +1/+1 counters on it."
Terastodon,8.0,['Green'],['G'],None,['Creature'],['Elephant'],Rare,PRES,9,9,None,"When Terastodon enters the battlefield, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller creates a 3/3 green Elephant creature token."
"Gargos, Vicious Watcher",6.0,['Green'],['G'],['Legendary'],['Creature'],['Hydra'],Rare,PRES,8,7,None,"Vigilance\nHydra spells you cast cost {4} less to cast.\nWhenever a creature you control becomes the target of a spell, Gargos, Vicious Watcher fights up to one target creature you don't control."
Curator of Mysteries,4.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Rare,PRES,4,4,None,"Flying\nWhenever you cycle or discard another card, scry 1.\nCycling {U} ({U}, Discard this card: Draw a card.)"
Goblin Chieftain,3.0,['Red'],['R'],None,['Creature'],['Goblin'],Rare,PRES,2,2,None,Haste (This creature can attack and {T} as soon as it comes under your control.)\nOther Goblin creatures you control get +1/+1 and have haste.
Knight Exemplar,3.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,PRES,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nOther Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)"
Nyx Lotus,4.0,None,None,['Legendary'],['Artifact'],None,Rare,PRES,None,None,None,Nyx Lotus enters the battlefield tapped.\n{T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)
"Jaya Ballard, Task Mage",3.0,['Red'],['R'],['Legendary'],['Creature'],"['Human', 'Spellshaper']",Rare,PRES,2,2,None,"{R}, {T}, Discard a card: Destroy target blue permanent.\n{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.\n{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player."
"Lathliss, Dragon Queen",6.0,['Red'],['R'],['Legendary'],['Creature'],['Dragon'],Rare,PRES,6,6,None,"Flying\nWhenever another nontoken Dragon enters the battlefield under your control, create a 5/5 red Dragon creature token with flying.\n{1}{R}: Dragons you control get +1/+0 until end of turn."
Terra Stomper,6.0,['Green'],['G'],None,['Creature'],['Beast'],Rare,PRES,8,8,None,This spell can't be countered.\nTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Loam Lion,1.0,['White'],['W'],None,['Creature'],['Cat'],Uncommon,PRES,1,1,None,Loam Lion gets +1/+2 as long as you control a Forest.
Xathrid Necromancer,3.0,['Black'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,PRES,2,2,None,"Whenever Xathrid Necromancer or another Human creature you control dies, create a tapped 2/2 black Zombie creature token."
Beast Whisperer,4.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,PRES,2,3,None,"Whenever you cast a creature spell, draw a card."
"Etali, Primal Storm",6.0,['Red'],['R'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,PRES,6,6,None,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs."
Thalia's Lancers,5.0,['White'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,PRES,4,4,None,"First strike\nWhen Thalia's Lancers enters the battlefield, you may search your library for a legendary card, reveal it, put it into your hand, then shuffle."
Scute Swarm,3.0,['Green'],['G'],None,['Creature'],['Insect'],Rare,PRES,1,1,None,"Landfall — Whenever a land enters the battlefield under your control, create a 1/1 green Insect creature token. If you control six or more lands, create a token that's a copy of Scute Swarm instead."
"Atarka, World Render",7.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],['Dragon'],Rare,PRES,6,4,None,"Flying, trample\nWhenever a Dragon you control attacks, it gains double strike until end of turn."
Hamletback Goliath,7.0,['Red'],['R'],None,['Creature'],"['Giant', 'Warrior']",Rare,PRES,6,6,None,"Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power."
"Neheb, Dreadhorde Champion",4.0,['Red'],['R'],['Legendary'],['Creature'],"['Zombie', 'Minotaur', 'Warrior']",Rare,PRES,5,4,None,"Trample\nWhenever Neheb, Dreadhorde Champion deals combat damage to a player or planeswalker, you may discard any number of cards. If you do, draw that many cards and add that much {R}. Until end of turn, you don't lose this mana as steps and phases end."
Opportunistic Dragon,4.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,PRES,4,3,None,"Flying\nWhen Opportunistic Dragon enters the battlefield, choose target Human or artifact an opponent controls. For as long as Opportunistic Dragon remains on the battlefield, gain control of that permanent, it loses all abilities, and it can't attack or block."
Brion Stoutarm,4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Giant', 'Warrior']",Rare,PRES,4,4,None,"Lifelink\n{R}, {T}, Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker."
Angel of Glory's Rise,7.0,['White'],['W'],None,['Creature'],['Angel'],Rare,PRES,4,6,None,"Flying\nWhen Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield."
Retaliator Griffin,4.0,"['Green', 'Red', 'White']","['G', 'R', 'W']",None,['Creature'],['Griffin'],Rare,PRES,2,2,None,"Flying\nWhenever a source an opponent controls deals damage to you, you may put that many +1/+1 counters on Retaliator Griffin."
"Oran-Rief, the Vastwood",0.0,None,['G'],None,['Land'],None,Rare,PRES,None,None,None,"Oran-Rief, the Vastwood enters the battlefield tapped.\n{T}: Add {G}.\n{T}: Put a +1/+1 counter on each green creature that entered the battlefield this turn."
Stonecoil Serpent,0.0,None,None,None,"['Artifact', 'Creature']",['Snake'],Rare,PRES,0,0,None,"Reach, trample, protection from multicolored\nStonecoil Serpent enters the battlefield with X +1/+1 counters on it."
Felidar Sovereign,6.0,['White'],['W'],None,['Creature'],"['Cat', 'Beast']",Rare,PRES,4,6,None,"Vigilance, lifelink\nAt the beginning of your upkeep, if you have 40 or more life, you win the game."
Bristling Hydra,4.0,['Green'],['G'],None,['Creature'],['Hydra'],Rare,PRES,4,3,None,"When Bristling Hydra enters the battlefield, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}: Put a +1/+1 counter on Bristling Hydra. It gains hexproof until end of turn."
Broodmate Dragon,6.0,"['Black', 'Green', 'Red']","['B', 'G', 'R']",None,['Creature'],['Dragon'],Rare,PRES,4,4,None,"Flying\nWhen Broodmate Dragon enters the battlefield, create a 4/4 red Dragon creature token with flying."
"Vito, Thorn of the Dusk Rose",3.0,['Black'],['B'],['Legendary'],['Creature'],"['Vampire', 'Cleric']",Rare,PRES,1,3,None,"Whenever you gain life, target opponent loses that much life.\n{3}{B}{B}: Creatures you control gain lifelink until end of turn."
Sunblast Angel,6.0,['White'],['W'],None,['Creature'],['Angel'],Rare,PRES,4,5,None,"Flying\nWhen Sunblast Angel enters the battlefield, destroy all tapped creatures."
End-Raze Forerunners,8.0,['Green'],['G'],None,['Creature'],['Boar'],Rare,PRES,7,7,None,"Vigilance, trample, haste\nWhen End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn."
