Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,PRM,None,None,None,({T}: Add {U}.)
Merfolk Secretkeeper // Venture Deeper,1.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Common,PRM,0,4,None,None
Wilt-Leaf Cavaliers,3.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Elf', 'Knight']",Uncommon,PRM,3,4,None,Vigilance
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,PRM,None,None,None,({T}: Add {B}.)
Brazen Borrower // Petty Theft,3.0,['Blue'],['U'],None,['Creature'],"['Faerie', 'Rogue']",Mythic,PRM,3,1,None,Flash\nFlying\nBrazen Borrower can block only creatures with flying.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,PRM,None,None,None,({T}: Add {W}.)
Obelisk of Alara,6.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Artifact'],None,Rare,PRM,None,None,None,"{1}{W}, {T}: You gain 5 life.\n{1}{U}, {T}: Draw a card, then discard a card.\n{1}{B}, {T}: Target creature gets -2/-2 until end of turn.\n{1}{R}, {T}: Obelisk of Alara deals 3 damage to target player or planeswalker.\n{1}{G}, {T}: Target creature gets +4/+4 until end of turn."
Lovestruck Beast // Heart's Desire,3.0,['Green'],['G'],None,['Creature'],"['Beast', 'Noble']",Rare,PRM,5,5,None,Lovestruck Beast can't attack unless you control a 1/1 creature.
Bramblewood Paragon,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,PRM,2,2,None,Each other Warrior creature you control enters the battlefield with an additional +1/+1 counter on it.\nEach creature you control with a +1/+1 counter on it has trample.
Malfegor,6.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Demon', 'Dragon']",Mythic,PRM,6,6,None,"Flying\nWhen Malfegor enters the battlefield, discard your hand. Each opponent sacrifices a creature for each card discarded this way."
Silverflame Squire // On Alert,2.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,PRM,2,1,None,None
Eternal Witness,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Shaman']",Uncommon,PRM,2,1,None,"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand."
Decree of Justice,4.0,['White'],['W'],None,['Sorcery'],None,Rare,PRM,None,None,None,"Create X 4/4 white Angel creature tokens with flying.\nCycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle Decree of Justice, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens."
Order of Midnight // Alter Fate,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Knight']",Uncommon,PRM,2,2,None,Flying\nOrder of Midnight can't block.
Ajani Vengeant,4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Planeswalker'],['Ajani'],Mythic,PRM,None,None,3,[+1]: Target permanent doesn't untap during its controller's next untap step.\n[−2]: Ajani Vengeant deals 3 damage to any target and you gain 3 life.\n[−7]: Destroy all lands target player controls.
Shrapnel Blast,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,PRM,None,None,None,"As an additional cost to cast this spell, sacrifice an artifact.\nShrapnel Blast deals 5 damage to any target."
Rosethorn Acolyte // Seasonal Ritual,3.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,PRM,2,3,None,{T}: Add one mana of any color.
Overbeing of Myth,5.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Spirit', 'Avatar']",Rare,PRM,*,*,None,"Overbeing of Myth's power and toughness are each equal to the number of cards in your hand.\nAt the beginning of your draw step, draw an additional card."
Murderous Rider // Swift End,3.0,['Black'],['B'],None,['Creature'],"['Zombie', 'Knight']",Rare,PRM,2,3,None,"Lifelink\nWhen Murderous Rider dies, put it on the bottom of its owner's library."
Wren's Run Packmaster,4.0,['Green'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,PRM,5,5,None,"Champion an Elf (When this creature enters the battlefield, sacrifice it unless you exile another Elf you control. When this creature leaves the battlefield, that card returns to the battlefield.)\n{2}{G}: Create a 2/2 green Wolf creature token.\nWolves you control have deathtouch."
Door of Destinies,4.0,None,None,None,['Artifact'],None,Rare,PRM,None,None,None,"As Door of Destinies enters the battlefield, choose a creature type.\nWhenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.\nCreatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies."
Faerie Guidemother // Gift of the Fae,1.0,['White'],['W'],None,['Creature'],['Faerie'],Common,PRM,1,1,None,Flying
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,PRM,None,None,None,({T}: Add {R}.)
The Royal Scions,3.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Planeswalker'],"['Will', 'Rowan']",Rare,PRM,None,None,5,"[+1]: Draw a card, then discard a card.\n[+1]: Target creature gets +2/+0 and gains first strike and trample until end of turn.\n[−8]: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand."
Vindicate,3.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Rare,PRM,None,None,None,Destroy target permanent.
"Garruk, Cursed Huntsman",6.0,"['Black', 'Green']","['B', 'G']",['Legendary'],['Planeswalker'],['Garruk'],Mythic,PRM,None,None,5,"[0]: Create two 2/2 black and green Wolf creature tokens with ""When this creature dies, put a loyalty counter on each Garruk you control.""\n[−3]: Destroy target creature. Draw a card.\n[−6]: You get an emblem with ""Creatures you control get +3/+3 and have trample."""
Goblin Piledriver,2.0,['Red'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,PRM,1,2,None,"Protection from blue (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue.)\nWhenever Goblin Piledriver attacks, it gets +2/+0 until end of turn for each other attacking Goblin."
"Calix, Destiny's Hand",4.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Planeswalker'],['Calix'],Mythic,PRM,None,None,4,[+1]: Look at the top four cards of your library. You may reveal an enchantment card from among them and put that card into your hand. Put the rest on the bottom of your library in a random order.\n[−3]: Exile target creature or enchantment you don't control until target enchantment you control leaves the battlefield.\n[−7]: Return all enchantment cards from your graveyard to the battlefield.
"Elspeth, Sun's Nemesis",4.0,['White'],['W'],['Legendary'],['Planeswalker'],['Elspeth'],Mythic,PRM,None,None,5,"[−1]: Up to two target creatures you control each get +2/+1 until end of turn.\n[−2]: Create two 1/1 white Human Soldier creature tokens.\n[−3]: You gain 5 life.\nEscape—{4}{W}{W}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)"
"Korlash, Heir to Blackblade",4.0,['Black'],['B'],['Legendary'],['Creature'],"['Zombie', 'Warrior']",Rare,PRM,*,*,None,"Korlash, Heir to Blackblade's power and toughness are each equal to the number of Swamps you control.\n{1}{B}: Regenerate Korlash.\nGrandeur — Discard another card named Korlash, Heir to Blackblade: Search your library for up to two Swamp cards, put them onto the battlefield tapped, then shuffle."
"Ashiok, Nightmare Muse",5.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Planeswalker'],['Ashiok'],Mythic,PRM,None,None,5,"[+1]: Create a 2/3 blue and black Nightmare creature token with ""Whenever this creature attacks or blocks, each opponent exiles the top two cards of their library.""\n[−3]: Return target nonland permanent to its owner's hand, then that player exiles a card from their hand.\n[−7]: You may cast up to three spells from among face-up cards your opponents own from exile without paying their mana costs."
"Oros, the Avenger",6.0,"['Black', 'Red', 'White']","['B', 'R', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,PRM,6,6,None,"Flying\nWhenever Oros, the Avenger deals combat damage to a player, you may pay {2}{W}. If you do, Oros deals 3 damage to each nonwhite creature."
"Oko, Thief of Crowns",3.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Planeswalker'],['Oko'],Mythic,PRM,None,None,4,"[+2]: Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n[+1]: Target artifact or creature loses all abilities and becomes a green Elk creature with base power and toughness 3/3.\n[−5]: Exchange control of target artifact or creature you control and target creature an opponent controls with power 3 or less."
Elvish Champion,3.0,['Green'],['G'],None,['Creature'],['Elf'],Rare,PRM,2,2,None,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
Piper of the Swarm,2.0,['Black'],['B'],None,['Creature'],"['Human', 'Warlock']",Rare,PRM,1,3,None,"Rats you control have menace.\n{1}{B}, {T}: Create a 1/1 black Rat creature token.\n{2}{B}{B}, {T}, Sacrifice three Rats: Gain control of target creature."
"Erebos, Bleak-Hearted",4.0,['Black'],['B'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,PRM,5,6,None,"Indestructible\nAs long as your devotion to black is less than five, Erebos isn't a creature.\nWhenever another creature you control dies, you may pay 2 life. If you do, draw a card.\n{1}{B}, Sacrifice another creature: Target creature gets -2/-1 until end of turn."
Mirari's Wake,5.0,"['Green', 'White']","['G', 'W']",None,['Enchantment'],None,Rare,PRM,None,None,None,"Creatures you control get +1/+1.\nWhenever you tap a land for mana, add one mana of any type that land produced."
"Thassa, Deep-Dwelling",4.0,['Blue'],['U'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,PRM,6,5,None,"Indestructible\nAs long as your devotion to blue is less than five, Thassa isn't a creature.\nAt the beginning of your end step, exile up to one other target creature you control, then return that card to the battlefield under your control.\n{3}{U}: Tap another target creature."
"Heliod, Sun-Crowned",3.0,['White'],['W'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,PRM,5,5,None,"Indestructible\nAs long as your devotion to white is less than five, Heliod isn't a creature.\nWhenever you gain life, put a +1/+1 counter on target creature or enchantment you control.\n{1}{W}: Another target creature gains lifelink until end of turn."
Cryptic Command,4.0,['Blue'],['U'],None,['Instant'],None,Rare,PRM,None,None,None,Choose two —\n• Counter target spell.\n• Return target permanent to its owner's hand.\n• Tap all creatures your opponents control.\n• Draw a card.
"Nylea, Keen-Eyed",4.0,['Green'],['G'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,PRM,5,6,None,"Indestructible\nAs long as your devotion to green is less than five, Nylea isn't a creature.\nCreature spells you cast cost {1} less to cast.\n{2}{G}: Reveal the top card of your library. If it's a creature card, put it into your hand. Otherwise, you may put it into your graveyard."
