Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",4.0,['Black'],"['B', 'W']",['Legendary'],['Creature'],"['Human', 'Warlock']",Rare,PSTX,4,4,None,"{T}: Put a +1/+1 counter on another target creature, then Embrose, Dean of Shadow deals 2 damage to that creature.\nWhenever a creature you control with a +1/+1 counter on it dies, draw a card."
Strixhaven Stadium,3.0,None,None,None,['Artifact'],None,Rare,PSTX,None,None,None,"{T}: Add {C}. Put a point counter on Strixhaven Stadium.\nWhenever a creature deals combat damage to you, remove a point counter from Strixhaven Stadium.\nWhenever a creature you control deals combat damage to an opponent, put a point counter on Strixhaven Stadium. Then if it has ten or more point counters on it, remove them all and that player loses the game."
Selfless Glyphweaver // Deadly Vanity,8.0,['Black'],"['B', 'W']",None,['Sorcery'],None,Rare,PSTX,None,None,None,"Choose a creature or planeswalker, then destroy all other creatures and planeswalkers."
"Codie, Vociferous Codex",3.0,None,"['B', 'G', 'R', 'U', 'W']",['Legendary'],"['Artifact', 'Creature']",['Construct'],Rare,PSTX,1,4,None,"You can't cast permanent spells.\n{4}, {T}: Add {W}{U}{B}{R}{G}. When you cast your next spell this turn, exile cards from the top of your library until you exile an instant or sorcery card with lesser mana value. Until end of turn, you may cast that card without paying its mana cost. Put each other card exiled this way on the bottom of your library in a random order."
Body of Research,6.0,"['Green', 'Blue']","['G', 'U']",None,['Sorcery'],None,Mythic,PSTX,None,None,None,"Create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it, where X is the number of cards in your library."
Shadrix Silverquill,5.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PSTX,2,5,None,"Flying, double strike\nAt the beginning of combat on your turn, you may choose two. Each mode must target a different player.\n• Target player creates a 2/1 white and black Inkling creature token with flying.\n• Target player draws a card and loses 1 life.\n• Target player puts a +1/+1 counter on each creature they control."
Blade Historian,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Human', 'Cleric']",Rare,PSTX,2,3,None,Attacking creatures you control have double strike.
"Rowan, Scholar of Sparks // Will, Scholar of Frost",5.0,['Blue'],"['R', 'U']",['Legendary'],['Planeswalker'],['Will'],Mythic,PSTX,None,None,4,"Instant and sorcery spells you cast cost {1} less to cast.\n[+1]: Up to one target creature has base power and toughness 0/2 until your next turn.\n[−3]: Draw two cards.\n[−7]: Exile up to five target permanents. For each permanent exiled this way, its controller creates a 4/4 blue and red Elemental creature token."
Witherbloom Command,2.0,"['Black', 'Green']","['B', 'G']",None,['Sorcery'],None,Rare,PSTX,None,None,None,"Choose two —\n• Target player mills three cards, then you return a land card from your graveyard to your hand.\n• Destroy target noncreature, nonland permanent with mana value 2 or less.\n• Target creature gets -3/-1 until end of turn.\n• Target opponent loses 2 life and you gain 2 life."
"Plargg, Dean of Chaos // Augusta, Dean of Order",3.0,['White'],"['R', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Rare,PSTX,1,3,None,"Other tapped creatures you control get +1/+0.\nOther untapped creatures you control get +0/+1.\nWhenever you attack, untap each creature you control, then tap any number of creatures you control."
Venerable Warsinger,3.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Spirit', 'Cleric']",Rare,PSTX,3,3,None,"Vigilance, trample\nWhenever Venerable Warsinger deals combat damage to a player, you may return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of damage Venerable Warsinger dealt to that player."
Velomachus Lorehold,7.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PSTX,5,5,None,"Flying, vigilance, haste\nWhenever Velomachus Lorehold attacks, look at the top seven cards of your library. You may cast an instant or sorcery spell with mana value less than or equal to Velomachus Lorehold's power from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
Pestilent Cauldron // Restorative Burst,5.0,['Green'],"['B', 'G']",None,['Sorcery'],None,Rare,PSTX,None,None,None,"Return up to two target creature, land, and/or planeswalker cards from your graveyard to your hand. Each player gains 4 life. Exile Restorative Burst."
Radiant Scrollwielder,4.0,"['Red', 'White']","['R', 'W']",None,['Creature'],"['Dwarf', 'Cleric']",Rare,PSTX,2,4,None,"Instant and sorcery spells you control have lifelink.\nAt the beginning of your upkeep, exile an instant or sorcery card at random from your graveyard. You may cast it this turn. If a spell cast this way would be put into your graveyard, exile it instead."
Semester's End,4.0,['White'],['W'],None,['Instant'],None,Rare,PSTX,None,None,None,"Exile any number of target creatures and/or planeswalkers you control. At the beginning of the next end step, return each of them to the battlefield under its owner's control. Each of them enters the battlefield with an additional +1/+1 counter on it if it's a creature and an additional loyalty counter on it if it's a planeswalker."
"Valentin, Dean of the Vein // Lisette, Dean of the Root",4.0,['Green'],"['B', 'G']",['Legendary'],['Creature'],"['Human', 'Druid']",Rare,PSTX,4,4,None,"Whenever you gain life, you may pay {1}. If you do, put a +1/+1 counter on each creature you control and those creatures gain trample until end of turn."
"Mila, Crafty Companion // Lukka, Wayward Bonder",6.0,['Red'],"['R', 'W']",['Legendary'],['Planeswalker'],['Lukka'],Mythic,PSTX,None,None,5,"[+1]: You may discard a card. If you do, draw a card. If a creature card was discarded this way, draw two cards instead.\n[−2]: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of your next upkeep.\n[−7]: You get an emblem with ""Whenever a creature enters the battlefield under your control, it deals damage equal to its power to any target."""
"Kianne, Dean of Substance // Imbraham, Dean of Theory",4.0,['Blue'],"['G', 'U']",['Legendary'],['Creature'],"['Bird', 'Wizard']",Rare,PSTX,3,3,None,"Flying\n{X}{U}{U}, {T}: Exile the top X cards of your library and put a study counter on each of them. Then you may put a card you own in exile with a study counter on it into your hand."
Vineglimmer Snarl,0.0,None,"['G', 'U']",None,['Land'],None,Rare,PSTX,None,None,None,"As Vineglimmer Snarl enters the battlefield, you may reveal a Forest or Island card from your hand. If you don't, Vineglimmer Snarl enters the battlefield tapped.\n{T}: Add {G} or {U}."
Vanishing Verse,2.0,"['Black', 'White']","['B', 'W']",None,['Instant'],None,Rare,PSTX,None,None,None,Exile target monocolored permanent.
Blot Out the Sky,2.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Mythic,PSTX,None,None,None,"Create X tapped 2/1 white and black Inkling creature tokens with flying. If X is 6 or more, destroy all noncreature, nonland permanents."
"Jadzi, Oracle of Arcavios // Journey to the Oracle",4.0,['Green'],"['G', 'U']",None,['Sorcery'],None,Mythic,PSTX,None,None,None,"You may put any number of land cards from your hand onto the battlefield. Then if you control eight or more lands, you may discard a card. If you do, return Journey to the Oracle to its owner's hand."
Tanazir Quandrix,5.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Mythic,PSTX,4,4,None,"Flying, trample\nWhen Tanazir Quandrix enters the battlefield, double the number of +1/+1 counters on target creature you control.\nWhenever Tanazir Quandrix attacks, you may have the base power and toughness of other creatures you control become equal to Tanazir Quandrix's power and toughness until end of turn."
Flamescroll Celebrant // Revel in Silence,2.0,['White'],"['R', 'W']",None,['Instant'],None,Rare,PSTX,None,None,None,Your opponents can't cast spells or activate planeswalkers' loyalty abilities this turn.\nExile Revel in Silence.
Frostboil Snarl,0.0,None,"['R', 'U']",None,['Land'],None,Rare,PSTX,None,None,None,"As Frostboil Snarl enters the battlefield, you may reveal an Island or Mountain card from your hand. If you don't, Frostboil Snarl enters the battlefield tapped.\n{T}: Add {U} or {R}."
Devastating Mastery,6.0,['White'],['W'],None,['Sorcery'],None,Rare,PSTX,None,None,None,"You may pay {2}{W}{W} rather than pay this spell's mana cost.\nIf the {2}{W}{W} cost was paid, an opponent chooses up to two nonland permanents they control and returns them to their owner's hand.\nDestroy all nonland permanents."
Silverquill Command,4.0,"['Black', 'White']","['B', 'W']",None,['Sorcery'],None,Rare,PSTX,None,None,None,Choose two —\n• Target creature gets +3/+3 and gains flying until end of turn.\n• Return target creature card with mana value 2 or less from your graveyard to the battlefield.\n• Target player draws a card and loses 1 life.\n• Target opponent sacrifices a creature.
Silverquill Silencer,2.0,"['Black', 'White']","['B', 'W']",None,['Creature'],"['Human', 'Cleric']",Rare,PSTX,3,2,None,"As Silverquill Silencer enters the battlefield, choose a nonland card name.\nWhenever an opponent casts a spell with the chosen name, they lose 3 life and you draw a card."
"Extus, Oriq Overlord // Awaken the Blood Avatar",8.0,"['Black', 'Red']","['B', 'R', 'W']",None,['Sorcery'],None,Mythic,PSTX,None,None,None,"As an additional cost to cast this spell, you may sacrifice any number of creatures. This spell costs {2} less to cast for each creature sacrificed this way.\nEach opponent sacrifices a creature. Create a 3/6 black and red Avatar creature token with haste and ""Whenever this creature attacks, it deals 3 damage to each opponent."""
Shineshadow Snarl,0.0,None,"['B', 'W']",None,['Land'],None,Rare,PSTX,None,None,None,"As Shineshadow Snarl enters the battlefield, you may reveal a Plains or Swamp card from your hand. If you don't, Shineshadow Snarl enters the battlefield tapped.\n{T}: Add {W} or {B}."
Ecological Appreciation,3.0,['Green'],['G'],None,['Sorcery'],None,Mythic,PSTX,None,None,None,Search your library and graveyard for up to four creature cards with different names that each have mana value X or less and reveal them. An opponent chooses two of those cards. Shuffle the chosen cards into your library and put the rest onto the battlefield. Exile Ecological Appreciation.
Rushed Rebirth,2.0,"['Black', 'Green']","['B', 'G']",None,['Instant'],None,Rare,PSTX,None,None,None,"Choose target creature. When that creature dies this turn, search your library for a creature card with lesser mana value, put it onto the battlefield tapped, then shuffle."
"Mavinda, Students' Advocate",3.0,['White'],['W'],['Legendary'],['Creature'],"['Bird', 'Advisor']",Mythic,PSTX,2,3,None,"Flying\n{0}: You may cast target instant or sorcery card from your graveyard this turn. If that spell doesn't target a creature you control, it costs {8} more to cast this way. If that spell would be put into your graveyard, exile it instead. Activate only once each turn. (You still pay the spell's costs. Timing rules for the spell still apply.)"
Manifestation Sage,4.0,"['Green', 'Blue']","['G', 'U']",None,['Creature'],"['Human', 'Wizard']",Rare,PSTX,2,2,None,"When Manifestation Sage enters the battlefield, create a 0/0 green and blue Fractal creature token. Put X +1/+1 counters on it, where X is the number of cards in your hand."
Fervent Mastery,5.0,['Red'],['R'],None,['Sorcery'],None,Rare,PSTX,None,None,None,"You may pay {2}{R}{R} rather than pay this spell's mana cost.\nIf the {2}{R}{R} cost was paid, an opponent discards any number of cards, then draws that many cards.\nSearch your library for up to three cards, put them into your hand, shuffle, then discard three cards at random."
