Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Maul Splicer,7.0,['Green'],['G'],None,['Creature'],"['Phyrexian', 'Human', 'Artificer']",Rare,PW11,1,1,None,"When Maul Splicer enters the battlefield, create two 3/3 colorless Phyrexian Golem artifact creature tokens.\nGolem creatures you control have trample."
Plague Myr,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Rare,PW11,1,1,None,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)\n{T}: Add {C}.
Shrine of Burning Rage,2.0,None,None,None,['Artifact'],None,Rare,PW11,None,None,None,"At the beginning of your upkeep or whenever you cast a red spell, put a charge counter on Shrine of Burning Rage.\n{3}, {T}, Sacrifice Shrine of Burning Rage: It deals damage equal to the number of charge counters on it to any target."
Master's Call,3.0,['White'],['W'],None,['Instant'],None,Rare,PW11,None,None,None,Create two 1/1 colorless Myr artifact creature tokens.
Boneyard Wurm,2.0,['Green'],['G'],None,['Creature'],['Wurm'],Rare,PW11,*,*,None,Boneyard Wurm's power and toughness are each equal to the number of creature cards in your graveyard.
Sylvan Ranger,2.0,['Green'],['G'],None,['Creature'],"['Elf', 'Scout', 'Ranger']",Rare,PW11,1,1,None,"When Sylvan Ranger enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Fling,2.0,['Red'],['R'],None,['Instant'],None,Rare,PW11,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nFling deals damage equal to the sacrificed creature's power to any target."
Bloodcrazed Neonate,2.0,['Red'],['R'],None,['Creature'],['Vampire'],Rare,PW11,2,1,None,"Bloodcrazed Neonate attacks each combat if able.\nWhenever Bloodcrazed Neonate deals combat damage to a player, put a +1/+1 counter on it."
Tormented Soul,1.0,['Black'],['B'],None,['Creature'],['Spirit'],Rare,PW11,1,1,None,Tormented Soul can't block and can't be blocked.
Auramancer,3.0,['White'],['W'],None,['Creature'],"['Human', 'Wizard']",Rare,PW11,2,2,None,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand."
Curse of the Bloody Tome,3.0,['Blue'],['U'],None,['Enchantment'],"['Aura', 'Curse']",Rare,PW11,None,None,None,"Enchant player\nAt the beginning of enchanted player's upkeep, that player mills two cards."
Vault Skirge,2.0,['Black'],['B'],None,"['Artifact', 'Creature']","['Phyrexian', 'Imp']",Rare,PW11,1,1,None,({B/P} can be paid with either {B} or 2 life.)\nFlying\nLifelink (Damage dealt by this creature also causes you to gain that much life.)
Circle of Flame,2.0,['Red'],['R'],None,['Enchantment'],None,Rare,PW11,None,None,None,"Whenever a creature without flying attacks you or a planeswalker you control, Circle of Flame deals 1 damage to that creature."
Signal Pest,1.0,None,None,None,"['Artifact', 'Creature']",['Pest'],Rare,PW11,0,1,None,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nSignal Pest can't be blocked except by creatures with flying or reach."
