Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ob Nixilis of the Black Oath,5.0,['Black'],['B'],['Legendary'],['Planeswalker'],['Nixilis'],Mythic,PZ1,None,None,3,"[+2]: Each opponent loses 1 life. You gain life equal to the life lost this way.\n[−2]: Create a 5/5 black Demon creature token with flying. You lose 2 life.\n[−8]: You get an emblem with ""{1}{B}, Sacrifice a creature: You gain X life and draw X cards, where X is the sacrificed creature's power.""\nOb Nixilis of the Black Oath can be your commander."
Vow of Flight,3.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,PZ1,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2, has flying, and can't attack you or planeswalkers you control."
True-Name Nemesis,3.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Rogue']",Mythic,PZ1,3,1,None,"As True-Name Nemesis enters the battlefield, choose a player.\nTrue-Name Nemesis has protection from the chosen player."
"Teferi, Temporal Archmage",6.0,['Blue'],['U'],['Legendary'],['Planeswalker'],['Teferi'],Mythic,PZ1,None,None,5,"[+1]: Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.\n[−1]: Untap up to four target permanents.\n[−10]: You get an emblem with ""You may activate loyalty abilities of planeswalkers you control on any player's turn any time you could cast an instant.""\nTeferi, Temporal Archmage can be your commander."
Synthetic Destiny,6.0,['Blue'],['U'],None,['Instant'],None,Rare,PZ1,None,None,None,"Exile all creatures you control. At the beginning of the next end step, reveal cards from the top of your library until you reveal that many creature cards, put all creature cards revealed this way onto the battlefield, then shuffle the rest of the revealed cards into your library."
Rhystic Study,3.0,['Blue'],['U'],None,['Enchantment'],None,Rare,PZ1,None,None,None,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}."
Propaganda,3.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,PZ1,None,None,None,Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.
Mystic Confluence,5.0,['Blue'],['U'],None,['Instant'],None,Rare,PZ1,None,None,None,Choose three. You may choose the same mode more than once.\n• Counter target spell unless its controller pays {3}.\n• Return target creature to its owner's hand.\n• Draw a card.
Banshee of the Dread Choir,5.0,['Black'],['B'],None,['Creature'],['Spirit'],Uncommon,PZ1,4,4,None,"Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)\nWhenever Banshee of the Dread Choir deals combat damage to a player, that player discards a card."
Decree of Pain,8.0,['Black'],['B'],None,['Sorcery'],None,Rare,PZ1,None,None,None,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.\nCycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)\nWhen you cycle Decree of Pain, all creatures get -2/-2 until end of turn."
