Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Immolation,1.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,REN,None,None,None,Enchant creature\nEnchanted creature gets +2/-2.
Hurr Jackal,1.0,['Red'],['R'],None,['Creature'],['Jackal'],Common,REN,1,1,None,{T}: Target creature can't be regenerated this turn.
Goblin Rock Sled,2.0,['Red'],['R'],None,['Creature'],['Goblin'],Common,REN,3,1,None,Trample\nGoblin Rock Sled doesn't untap during your untap step if it attacked during your last turn.\nGoblin Rock Sled can't attack unless defending player controls a Mountain.
Energy Tap,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,REN,None,None,None,"Tap target untapped creature you control. If you do, add an amount of {C} equal to that creature's mana value."
Giant Strength,2.0,['Red'],['R'],None,['Enchantment'],['Aura'],Common,REN,None,None,None,Enchant creature\nEnchanted creature gets +2/+2.
Fissure,5.0,['Red'],['R'],None,['Instant'],None,Common,REN,None,None,None,Destroy target creature or land. It can't be regenerated.
Flood,1.0,['Blue'],['U'],None,['Enchantment'],None,Uncommon,REN,None,None,None,{U}{U}: Tap target creature without flying.
Eternal Warrior,1.0,['Red'],['R'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,Enchant creature\nEnchanted creature has vigilance.
Detonate,1.0,['Red'],['R'],None,['Sorcery'],None,Uncommon,REN,None,None,None,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
Crimson Manticore,4.0,['Red'],['R'],None,['Creature'],['Manticore'],Uncommon,REN,2,2,None,"Flying\n{R}, {T}: Crimson Manticore deals 1 damage to target attacking or blocking creature."
Cave People,3.0,['Red'],['R'],None,['Creature'],['Human'],Uncommon,REN,1,4,None,"Whenever Cave People attacks, it gets +1/-2 until end of turn.\n{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)"
Brothers of Fire,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Shaman']",Uncommon,REN,2,2,None,{1}{R}{R}: Brothers of Fire deals 1 damage to any target and 1 damage to you.
Blood Lust,2.0,['Red'],['R'],None,['Instant'],None,Uncommon,REN,None,None,None,"If target creature has toughness 5 or greater, it gets +4/-4 until end of turn. Otherwise, it gets +4/-X until end of turn, where X is its toughness minus 1."
Bird Maiden,3.0,['Red'],['R'],None,['Creature'],"['Human', 'Bird']",Common,REN,1,2,None,Flying
Morale,3.0,['White'],['W'],None,['Instant'],None,Common,REN,None,None,None,Attacking creatures get +1/+1 until end of turn.
Ball Lightning,3.0,['Red'],['R'],None,['Creature'],['Elemental'],Uncommon,REN,6,1,None,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Ball Lightning."
Ali Baba,1.0,['Red'],['R'],None,['Creature'],"['Human', 'Rogue']",Uncommon,REN,1,1,None,{R}: Tap target Wall.
Xenic Poltergeist,3.0,['Black'],['B'],None,['Creature'],['Spirit'],Uncommon,REN,1,1,None,"{T}: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value."
Word of Binding,2.0,['Black'],['B'],None,['Sorcery'],None,Common,REN,None,None,None,Tap X target creatures.
Vampire Bats,1.0,['Black'],['B'],None,['Creature'],['Bat'],Common,REN,0,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate no more than twice each turn.
Uncle Istvan,4.0,['Black'],['B'],None,['Creature'],['Human'],Uncommon,REN,1,3,None,Prevent all damage that would be dealt to Uncle Istvan by creatures.
Visions,1.0,['White'],['W'],None,['Sorcery'],None,Uncommon,REN,None,None,None,Look at the top five cards of target player's library. You may then have that player shuffle that library.
Spirit Shackle,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Common,REN,None,None,None,"Enchant creature\nWhenever enchanted creature becomes tapped, put a -0/-2 counter on it."
Rag Man,4.0,['Black'],['B'],None,['Creature'],"['Human', 'Minion']",Uncommon,REN,2,1,None,"{B}{B}{B}, {T}: Target opponent reveals their hand and discards a creature card at random. Activate only during your turn."
Pit Scorpion,3.0,['Black'],['B'],None,['Creature'],['Scorpion'],Common,REN,1,1,None,"Whenever Pit Scorpion deals damage to a player, that player gets a poison counter. (A player with ten or more poison counters loses the game.)"
Murk Dwellers,4.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,REN,2,2,None,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat."
Apprentice Wizard,3.0,['Blue'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,REN,0,1,None,"{U}, {T}: Add {C}{C}{C}."
Marsh Gas,1.0,['Black'],['B'],None,['Instant'],None,Common,REN,None,None,None,All creatures get -2/-0 until end of turn.
Lost Soul,3.0,['Black'],['B'],None,['Creature'],"['Spirit', 'Minion']",Common,REN,2,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Junún Efreet,3.0,['Black'],['B'],None,['Creature'],['Efreet'],Uncommon,REN,3,3,None,"Flying\nAt the beginning of your upkeep, sacrifice Junún Efreet unless you pay {B}{B}."
Greed,4.0,['Black'],['B'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"{B}, Pay 2 life: Draw a card."
Cyclopean Mummy,2.0,['Black'],['B'],None,['Creature'],['Zombie'],Common,REN,2,1,None,"When Cyclopean Mummy dies, exile it."
Cosmic Horror,6.0,['Black'],['B'],None,['Creature'],['Horror'],Uncommon,REN,7,7,None,"First strike\nAt the beginning of your upkeep, destroy Cosmic Horror unless you pay {3}{B}{B}{B}. If Cosmic Horror is destroyed this way, it deals 7 damage to you."
Carrion Ants,4.0,['Black'],['B'],None,['Creature'],['Insect'],Uncommon,REN,0,1,None,{1}: Carrion Ants gets +1/+1 until end of turn.
Backfire,1.0,['Blue'],['U'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,"Enchant creature\nWhenever enchanted creature deals damage to you, Backfire deals that much damage to that creature's controller."
Bog Imp,2.0,['Black'],['B'],None,['Creature'],['Imp'],Common,REN,1,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
Land Tax,1.0,['White'],['W'],None,['Enchantment'],None,Uncommon,REN,None,None,None,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle."
Blight,2.0,['Black'],['B'],None,['Enchantment'],['Aura'],Uncommon,REN,None,None,None,"Enchant land\nWhen enchanted land becomes tapped, destroy it."
Ashes to Ashes,3.0,['Black'],['B'],None,['Sorcery'],None,Common,REN,None,None,None,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.
Abomination,5.0,['Black'],['B'],None,['Creature'],['Horror'],Uncommon,REN,2,6,None,"Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat."
