Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Rick, Steadfast Leader",4.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,SLD,3,4,None,"As Rick enters the battlefield, choose two abilities from among first strike, vigilance, and lifelink.\nHumans you control have each of the chosen abilities.\nAs long as you control four or more Humans, Humans you control get +2/+2."
Thraximundar,7.0,"['Black', 'Red', 'Blue']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Zombie', 'Assassin']",Mythic,SLD,6,6,None,"Haste\nWhenever Thraximundar attacks, defending player sacrifices a creature.\nWhenever a player sacrifices a creature, you may put a +1/+1 counter on Thraximundar."
Dreadbore,2.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Rare,SLD,None,None,None,Destroy target creature or planeswalker.
Voidslime,3.0,"['Green', 'Blue']","['G', 'U']",None,['Instant'],None,Rare,SLD,None,None,None,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)"
The Mimeoplasm,5.0,"['Black', 'Green', 'Blue']","['B', 'G', 'U']",['Legendary'],['Creature'],['Ooze'],Mythic,SLD,0,0,None,"As The Mimeoplasm enters the battlefield, you may exile two creature cards from graveyards. If you do, it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card."
Scavenging Ooze,2.0,['Green'],['G'],None,['Creature'],['Ooze'],Rare,SLD,2,2,None,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life."
Necrotic Ooze,4.0,['Black'],['B'],None,['Creature'],['Ooze'],Rare,SLD,4,3,None,"As long as Necrotic Ooze is on the battlefield, it has all activated abilities of all creature cards in all graveyards."
Sacred Foundry,0.0,None,"['R', 'W']",None,['Land'],"['Mountain', 'Plains']",Rare,SLD,None,None,None,"({T}: Add {R} or {W}.)\nAs Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Overgrown Tomb,0.0,None,"['B', 'G']",None,['Land'],"['Swamp', 'Forest']",Rare,SLD,None,None,None,"({T}: Add {B} or {G}.)\nAs Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Steam Vents,0.0,None,"['R', 'U']",None,['Land'],"['Island', 'Mountain']",Rare,SLD,None,None,None,"({T}: Add {U} or {R}.)\nAs Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Temple Garden,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,SLD,None,None,None,"({T}: Add {G} or {W}.)\nAs Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Stomping Ground,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,SLD,None,None,None,"({T}: Add {R} or {G}.)\nAs Stomping Ground enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Watery Grave,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,SLD,None,None,None,"({T}: Add {U} or {B}.)\nAs Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Sower of Temptation,4.0,['Blue'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,SLD,2,2,None,"Flying\nWhen Sower of Temptation enters the battlefield, gain control of target creature for as long as Sower of Temptation remains on the battlefield."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Rare,SLD,None,None,None,({T}: Add {B}.)
Vendilion Clique,3.0,['Blue'],['U'],['Legendary'],['Creature'],"['Faerie', 'Wizard']",Mythic,SLD,3,1,None,"Flash\nFlying\nWhen Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card."
Spellstutter Sprite,2.0,['Blue'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,SLD,1,1,None,"Flash\nFlying\nWhen Spellstutter Sprite enters the battlefield, counter target spell with mana value X or less, where X is the number of Faeries you control."
Mistbind Clique,4.0,['Blue'],['U'],None,['Creature'],"['Faerie', 'Wizard']",Rare,SLD,4,4,None,"Flash\nFlying\nChampion a Faerie (When this enters the battlefield, sacrifice it unless you exile another Faerie you control. When this leaves the battlefield, that card returns to the battlefield.)\nWhen a Faerie is championed with Mistbind Clique, tap all lands target player controls."
Opt,1.0,['Blue'],['U'],None,['Instant'],None,Rare,SLD,None,None,None,Scry 1.\nDraw a card.
Swords to Plowshares,1.0,['White'],['W'],None,['Instant'],None,Rare,SLD,None,None,None,Exile target creature. Its controller gains life equal to its power.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Rare,SLD,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Rare,SLD,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Rare,SLD,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Rare,SLD,None,None,None,({T}: Add {B}.)
