Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Kunoros, Hound of Athreos",3.0,"['Black', 'White']","['B', 'W']",['Legendary'],['Creature'],['Dog'],Rare,THB,3,3,None,"Vigilance, menace, lifelink\nCreature cards in graveyards can't enter the battlefield.\nPlayers can't cast spells from graveyards."
"Kroxa, Titan of Death's Hunger",2.0,"['Black', 'Red']","['B', 'R']",['Legendary'],['Creature'],"['Elder', 'Giant']",Mythic,THB,6,6,None,"When Kroxa enters the battlefield, sacrifice it unless it escaped.\nWhenever Kroxa enters the battlefield or attacks, each opponent discards a card, then each opponent who didn't discard a nonland card this way loses 3 life.\nEscape—{B}{B}{R}{R}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)"
"Klothys, God of Destiny",3.0,"['Green', 'Red']","['G', 'R']",['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,THB,4,5,None,"Indestructible\nAs long as your devotion to red and green is less than seven, Klothys isn't a creature.\nAt the beginning of your precombat main phase, exile target card from a graveyard. If it was a land card, add {R} or {G}. Otherwise, you gain 2 life and Klothys deals 2 damage to each opponent."
Hero of the Nyxborn,3.0,"['Red', 'White']","['R', 'W']",None,"['Enchantment', 'Creature']","['Human', 'Soldier']",Uncommon,THB,2,2,None,"When Hero of the Nyxborn enters the battlefield, create a 1/1 white Human Soldier creature token.\nWhenever you cast a spell that targets Hero of the Nyxborn, creatures you control get +1/+0 until end of turn."
Haktos the Unscarred,4.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,THB,6,1,None,"Haktos the Unscarred attacks each combat if able.\nAs Haktos enters the battlefield, choose 2, 3, or 4 at random.\nHaktos has protection from each mana value other than the chosen number."
Gallia of the Endless Dance,2.0,"['Green', 'Red']","['G', 'R']",['Legendary'],['Creature'],['Satyr'],Rare,THB,2,2,None,"Haste\nOther Satyrs you control get +1/+1 and have haste.\nWhenever you attack with three or more creatures, you may discard a card at random. If you do, draw two cards."
Treeshaker Chimera,7.0,['Green'],['G'],None,['Creature'],['Chimera'],Rare,THB,8,5,None,"All creatures able to block Treeshaker Chimera do so.\nWhen Treeshaker Chimera dies, draw three cards."
Skola Grovedancer,2.0,['Green'],['G'],None,"['Enchantment', 'Creature']","['Satyr', 'Druid']",Common,THB,2,2,None,"Whenever a land card is put into your graveyard from anywhere, you gain 1 life.\n{2}{G}: Mill a card."
Ironscale Hydra,5.0,['Green'],['G'],None,['Creature'],['Hydra'],Rare,THB,5,5,None,"If a creature would deal combat damage to Ironscale Hydra, prevent that damage and put a +1/+1 counter on Ironscale Hydra."
Devourer of Memory,2.0,"['Black', 'Blue']","['B', 'U']",None,['Creature'],['Nightmare'],Uncommon,THB,2,1,None,"Whenever one or more cards are put into your graveyard from your library, Devourer of Memory gets +1/+1 until end of turn and can't be blocked this turn.\n{1}{U}{B}: Mill a card."
Terror of Mount Velus,7.0,['Red'],['R'],None,['Creature'],['Dragon'],Rare,THB,5,5,None,"Flying, double strike\nWhen Terror of Mount Velus enters the battlefield, creatures you control gain double strike until end of turn."
Enigmatic Incarnation,4.0,"['Green', 'Blue']","['G', 'U']",None,['Enchantment'],None,Rare,THB,None,None,None,"At the beginning of your end step, you may sacrifice another enchantment. If you do, search your library for a creature card with mana value equal to 1 plus the sacrificed enchantment's mana value, put that card onto the battlefield, then shuffle."
Deathbellow War Cry,8.0,['Red'],['R'],None,['Sorcery'],None,Rare,THB,None,None,None,"Search your library for up to four Minotaur creature cards with different names, put them onto the battlefield, then shuffle."
Eutropia the Twice-Favored,3.0,"['Green', 'Blue']","['G', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Uncommon,THB,2,2,None,"Constellation — Whenever an enchantment enters the battlefield under your control, put a +1/+1 counter on target creature. That creature gains flying until end of turn."
Underworld Sentinel,5.0,['Black'],['B'],None,['Creature'],"['Skeleton', 'Soldier']",Rare,THB,4,5,None,"Whenever Underworld Sentinel attacks, exile target creature card from your graveyard.\nWhen Underworld Sentinel dies, put all cards exiled with it onto the battlefield."
Dream Trawler,6.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Sphinx'],Rare,THB,3,5,None,"Flying, lifelink\nWhenever you draw a card, Dream Trawler gets +1/+0 until end of turn.\nWhenever Dream Trawler attacks, draw a card.\nDiscard a card: Dream Trawler gains hexproof until end of turn. Tap it."
Demon of Loathing,7.0,['Black'],['B'],None,['Creature'],['Demon'],Rare,THB,7,7,None,"Flying, trample\nWhenever Demon of Loathing deals combat damage to a player, that player sacrifices a creature."
"Dalakos, Crafter of Wonders",3.0,"['Red', 'Blue']","['R', 'U']",['Legendary'],['Creature'],"['Merfolk', 'Artificer']",Rare,THB,2,4,None,{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.\nEquipped creatures you control have flying and haste.
Serpent of Yawning Depths,6.0,['Blue'],['U'],None,"['Enchantment', 'Creature']",['Serpent'],Rare,THB,6,6,None,"Krakens, Leviathans, Octopuses, and Serpents you control can't be blocked except by Krakens, Leviathans, Octopuses, and Serpents."
"Calix, Destiny's Hand",4.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Planeswalker'],['Calix'],Mythic,THB,None,None,4,[+1]: Look at the top four cards of your library. You may reveal an enchantment card from among them and put that card into your hand. Put the rest on the bottom of your library in a random order.\n[−3]: Exile target creature or enchantment you don't control until target enchantment you control leaves the battlefield.\n[−7]: Return all enchantment cards from your graveyard to the battlefield.
Bronzehide Lion,2.0,"['Green', 'White']","['G', 'W']",None,['Creature'],['Cat'],Rare,THB,3,3,None,"{G}{W}: Bronzehide Lion gains indestructible until end of turn.\nWhen Bronzehide Lion dies, return it to the battlefield. It's an Aura enchantment with enchant creature you control and ""{G}{W}: Enchanted creature gains indestructible until end of turn,"" and it loses all other abilities."
Sphinx Mindbreaker,7.0,['Blue'],['U'],None,['Creature'],['Sphinx'],Rare,THB,6,6,None,"Flying\nWhen Sphinx Mindbreaker enters the battlefield, each opponent mills ten cards."
Allure of the Unknown,5.0,"['Black', 'Red']","['B', 'R']",None,['Sorcery'],None,Rare,THB,None,None,None,"Reveal the top six cards of your library. An opponent exiles a nonland card from among them, then you put the rest into your hand. That opponent may cast the exiled card without paying its mana cost."
Victory's Envoy,5.0,['White'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,THB,3,3,None,"At the beginning of your upkeep, put a +1/+1 counter on each other creature you control."
"Atris, Oracle of Half-Truths",4.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,THB,3,2,None,"Menace\nWhen Atris, Oracle of Half-Truths enters the battlefield, target opponent looks at the top three cards of your library and separates them into a face-down pile and a face-up pile. Put one pile into your hand and the other into your graveyard."
Grasping Giant,6.0,['White'],['W'],None,['Creature'],['Giant'],Rare,THB,5,7,None,"Vigilance\nWhenever Grasping Giant becomes blocked by a creature, exile that creature until Grasping Giant leaves the battlefield."
"Ashiok, Nightmare Muse",5.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Planeswalker'],['Ashiok'],Mythic,THB,None,None,5,"[+1]: Create a 2/3 blue and black Nightmare creature token with ""Whenever this creature attacks or blocks, each opponent exiles the top two cards of their library.""\n[−3]: Return target nonland permanent to its owner's hand, then that player exiles a card from their hand.\n[−7]: You may cast up to three spells from among face-up cards your opponents own from exile without paying their mana costs."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,THB,None,None,None,({T}: Add {G}.)
Voracious Typhon,4.0,['Green'],['G'],None,['Creature'],"['Snake', 'Beast']",Common,THB,4,4,None,"Escape—{5}{G}{G}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)\nVoracious Typhon escapes with three +1/+1 counters on it."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,THB,None,None,None,({T}: Add {G}.)
Setessan Training,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,THB,None,None,None,"Enchant creature you control\nWhen Setessan Training enters the battlefield, draw a card.\nEnchanted creature gets +1/+0 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)"
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,THB,None,None,None,({T}: Add {R}.)
Acolyte of Affliction,4.0,"['Black', 'Green']","['B', 'G']",None,['Creature'],"['Human', 'Cleric']",Uncommon,THB,2,3,None,"When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,THB,None,None,None,({T}: Add {R}.)
Wolfwillow Haven,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,THB,None,None,None,"Enchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional {G}.\n{4}{G}, Sacrifice Wolfwillow Haven: Create a 2/2 green Wolf creature token. Activate only during your turn."
"Elspeth, Undaunted Hero",5.0,['White'],['W'],['Legendary'],['Planeswalker'],['Elspeth'],Mythic,THB,None,None,5,"[+2]: Put a +1/+1 counter on each of up to two target creatures.\n[−2]: Search your library and/or graveyard for a card named Sunlit Hoplite and put it onto the battlefield. If you search your library this way, shuffle.\n[−8]: Until end of turn, creatures you control gain flying and get +X/+X, where X is your devotion to white."
Warbriar Blessing,2.0,['Green'],['G'],None,['Enchantment'],['Aura'],Common,THB,None,None,None,"Enchant creature you control\nWhen Warbriar Blessing enters the battlefield, enchanted creature fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)\nEnchanted creature gets +0/+2."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,THB,None,None,None,({T}: Add {U}.)
Setessan Skirmisher,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,THB,2,1,None,"Constellation — Whenever an enchantment enters the battlefield under your control, Setessan Skirmisher gets +1/+1 until end of turn."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,THB,None,None,None,({T}: Add {B}.)
Setessan Petitioner,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Druid']",Uncommon,THB,2,2,None,"When Setessan Petitioner enters the battlefield, you gain life equal to your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)"
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,THB,None,None,None,({T}: Add {B}.)
Setessan Champion,3.0,['Green'],['G'],None,['Creature'],"['Human', 'Warrior']",Rare,THB,1,3,None,"Constellation — Whenever an enchantment enters the battlefield under your control, put a +1/+1 counter on Setessan Champion and draw a card."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,THB,None,None,None,({T}: Add {U}.)
