Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Rafiq of the Many,4.0,"['Green', 'Blue', 'White']","['G', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Knight']",Mythic,V11,3,3,None,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, it gains double strike until end of turn."
"Mikaeus, the Lunarch",1.0,['White'],['W'],['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,V11,0,0,None,"Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it.\n{T}: Put a +1/+1 counter on Mikaeus.\n{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control."
Sharuum the Hegemon,6.0,"['Black', 'Blue', 'White']","['B', 'U', 'W']",['Legendary'],"['Artifact', 'Creature']",['Sphinx'],Mythic,V11,5,5,None,"Flying\nWhen Sharuum the Hegemon enters the battlefield, you may return target artifact card from your graveyard to the battlefield."
Progenitus,10.0,"['Black', 'Green', 'Red', 'Blue', 'White']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Hydra', 'Avatar']",Mythic,V11,10,10,None,"Protection from everything\nIf Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead."
"Oona, Queen of the Fae",6.0,"['Black', 'Blue']","['B', 'U']",['Legendary'],['Creature'],"['Faerie', 'Wizard']",Mythic,V11,5,5,None,"Flying\n{X}{U/B}: Choose a color. Target opponent exiles the top X cards of their library. For each card of the chosen color exiled this way, create a 1/1 blue and black Faerie Rogue creature token with flying."
"Sun Quan, Lord of Wu",6.0,['Blue'],['U'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,V11,4,4,None,Creatures you control have horsemanship. (They can't be blocked except by creatures with horsemanship.)
"Omnath, Locus of Mana",3.0,['Green'],['G'],['Legendary'],['Creature'],['Elemental'],Mythic,V11,1,1,None,"You don't lose unspent green mana as steps and phases end.\nOmnath, Locus of Mana gets +1/+1 for each unspent green mana you have."
Captain Sisay,4.0,"['Green', 'White']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,V11,2,2,None,"{T}: Search your library for a legendary card, reveal that card, put it into your hand, then shuffle."
"Cao Cao, Lord of Wei",5.0,['Black'],['B'],['Legendary'],['Creature'],"['Human', 'Soldier']",Mythic,V11,3,3,None,"{T}: Target opponent discards two cards. Activate only during your turn, before attackers are declared."
Kresh the Bloodbraided,5.0,"['Black', 'Green', 'Red']","['B', 'G', 'R']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,V11,3,3,None,"Whenever another creature dies, you may put X +1/+1 counters on Kresh the Bloodbraided, where X is that creature's power."
"Kiki-Jiki, Mirror Breaker",5.0,['Red'],['R'],['Legendary'],['Creature'],"['Goblin', 'Shaman']",Mythic,V11,2,2,None,"Haste\n{T}: Create a token that's a copy of target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step."
"Teferi, Mage of Zhalfir",5.0,['Blue'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,V11,3,4,None,Flash\nCreature cards you own that aren't on the battlefield have flash.\nEach opponent can cast spells only any time they could cast a sorcery.
Visara the Dreadful,6.0,['Black'],['B'],['Legendary'],['Creature'],['Gorgon'],Mythic,V11,5,5,None,Flying\n{T}: Destroy target creature. It can't be regenerated.
"Doran, the Siege Tower",3.0,"['Black', 'Green', 'White']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Treefolk', 'Shaman']",Mythic,V11,0,5,None,Each creature assigns combat damage equal to its toughness rather than its power.
"Ulamog, the Infinite Gyre",11.0,None,None,['Legendary'],['Creature'],['Eldrazi'],Mythic,V11,10,10,None,"When you cast this spell, destroy target permanent.\nIndestructible\nAnnihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)\nWhen Ulamog, the Infinite Gyre is put into a graveyard from anywhere, its owner shuffles their graveyard into their library."
