Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Avacyn, Angel of Hope",8.0,['White'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,8,8,None,"Flying, vigilance, indestructible\nOther permanents you control have indestructible."
Serra Angel,5.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,V15,4,4,None,"Flying, vigilance"
"Aurelia, the Warleader",6.0,"['Red', 'White']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,3,4,None,"Flying, vigilance, haste\nWhenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase."
Archangel of Strife,7.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,V15,6,6,None,"Flying\nAs Archangel of Strife enters the battlefield, each player chooses war or peace.\nCreatures controlled by players who chose war get +3/+0.\nCreatures controlled by players who chose peace get +0/+3."
"Iona, Shield of Emeria",9.0,['White'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,7,7,None,"Flying\nAs Iona, Shield of Emeria enters the battlefield, choose a color.\nYour opponents can't cast spells of the chosen color."
Exalted Angel,6.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,V15,4,5,None,"Flying\nWhenever Exalted Angel deals damage, you gain that much life.\nMorph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Entreat the Angels,3.0,['White'],['W'],None,['Sorcery'],None,Mythic,V15,None,None,None,Create X 4/4 white Angel creature tokens with flying.\nMiracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)
"Jenara, Asura of War",3.0,"['Green', 'Blue', 'White']","['G', 'U', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,3,3,None,"Flying\n{1}{W}: Put a +1/+1 counter on Jenara, Asura of War."
Iridescent Angel,7.0,"['Blue', 'White']","['U', 'W']",None,['Creature'],['Angel'],Mythic,V15,4,4,None,"Flying, protection from all colors"
Lightning Angel,4.0,"['Red', 'Blue', 'White']","['R', 'U', 'W']",None,['Creature'],['Angel'],Mythic,V15,3,4,None,"Flying, vigilance, haste"
"Akroma, Angel of Wrath",8.0,['White'],['W'],['Legendary'],['Creature'],['Angel'],Mythic,V15,6,6,None,"Flying, first strike, vigilance, trample, haste, protection from black and from red"
Platinum Angel,7.0,None,None,None,"['Artifact', 'Creature']",['Angel'],Mythic,V15,4,4,None,Flying\nYou can't lose the game and your opponents can't win the game.
"Tariel, Reckoner of Souls",7.0,"['Black', 'Red', 'White']","['B', 'R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,V15,4,7,None,"Flying, vigilance\n{T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control."
"Akroma, Angel of Fury",8.0,['Red'],['R'],['Legendary'],['Creature'],['Angel'],Mythic,V15,6,6,None,"This spell can't be countered.\nFlying, trample, protection from white and from blue\n{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.\nMorph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Baneslayer Angel,5.0,['White'],['W'],None,['Creature'],['Angel'],Mythic,V15,5,5,None,"Flying, first strike, lifelink, protection from Demons and from Dragons"
