Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Reprisal,2.0,['White'],['W'],None,['Instant'],None,Uncommon,WC02,None,None,None,Destroy target creature with power 4 or greater. It can't be regenerated.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Compost,2.0,['Green'],['G'],None,['Enchantment'],None,Uncommon,WC02,None,None,None,"Whenever a black card is put into an opponent's graveyard from anywhere, you may draw a card."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Ray of Revelation,2.0,['White'],"['G', 'W']",None,['Instant'],None,Common,WC02,None,None,None,Destroy target enchantment.\nFlashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Squirrel Nest,3.0,['Green'],['G'],None,['Enchantment'],['Aura'],Uncommon,WC02,None,None,None,"Enchant land\nEnchanted land has ""{T}: Create a 1/1 green Squirrel creature token."""
Yavimaya Coast,0.0,None,"['G', 'U']",None,['Land'],None,Rare,WC02,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.
Seton's Scout,2.0,['Green'],['G'],None,['Creature'],"['Centaur', 'Druid', 'Scout', 'Archer']",Uncommon,WC02,2,1,None,Reach (This creature can block creatures with flying.)\nThreshold — Seton's Scout gets +2/+2 as long as seven or more cards are in your graveyard.
Opposition,4.0,['Blue'],['U'],None,['Enchantment'],None,Rare,WC02,None,None,None,"Tap an untapped creature you control: Tap target artifact, creature, or land."
Merfolk Looter,2.0,['Blue'],['U'],None,['Creature'],"['Merfolk', 'Rogue']",Uncommon,WC02,1,1,None,"{T}: Draw a card, then discard a card."
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,WC02,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Quiet Speculation,2.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,WC02,None,None,None,Search target player's library for up to three cards with flashback and put them into that player's graveyard. Then the player shuffles.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,WC02,None,None,None,({T}: Add {W}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Shivan Reef,0.0,None,"['R', 'U']",None,['Land'],None,Rare,WC02,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Careful Study,1.0,['Blue'],['U'],None,['Sorcery'],None,Common,WC02,None,None,None,"Draw two cards, then discard two cards."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Wonder,4.0,['Blue'],['U'],None,['Creature'],['Incarnation'],Uncommon,WC02,2,2,None,"Flying\nAs long as Wonder is in your graveyard and you control an Island, creatures you control have flying."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Disrupt,1.0,['Blue'],['U'],None,['Instant'],None,Uncommon,WC02,None,None,None,Counter target instant or sorcery spell unless its controller pays {1}.\nDraw a card.
Mental Note,1.0,['Blue'],['U'],None,['Instant'],None,Common,WC02,None,None,None,Mill two cards.\nDraw a card.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,WC02,None,None,None,({T}: Add {W}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
City of Brass,0.0,None,None,None,['Land'],None,Rare,WC02,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,WC02,None,None,None,({T}: Add {U}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Brushland,0.0,None,"['G', 'W']",None,['Land'],None,Rare,WC02,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {W}. Brushland deals 1 damage to you.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,WC02,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,WC02,None,None,None,({T}: Add {R}.)
Rushing River,3.0,['Blue'],['U'],None,['Instant'],None,Common,WC02,None,None,None,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)\nReturn target nonland permanent to its owner's hand. If this spell was kicked, return another target nonland permanent to its owner's hand."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,WC02,None,None,None,({T}: Add {G}.)
Call of the Herd,3.0,['Green'],['G'],None,['Sorcery'],None,Rare,WC02,None,None,None,Create a 3/3 green Elephant creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Werebear,2.0,['Green'],['G'],None,['Creature'],"['Human', 'Bear', 'Druid']",Common,WC02,1,1,None,{T}: Add {G}.\nThreshold — Werebear gets +3/+3 as long as seven or more cards are in your graveyard.
Intrepid Hero,3.0,['White'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,WC02,1,1,None,{T}: Destroy target creature with power 4 or greater.
Roar of the Wurm,7.0,['Green'],['G'],None,['Sorcery'],None,Uncommon,WC02,None,None,None,Create a 6/6 green Wurm creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,WC02,None,None,None,({T}: Add {W}.)
Breakthrough,1.0,['Blue'],['U'],None,['Sorcery'],None,Uncommon,WC02,None,None,None,"Draw four cards, then choose X cards in your hand and discard the rest."
Simoon,2.0,"['Green', 'Red']","['G', 'R']",None,['Instant'],None,Uncommon,WC02,None,None,None,Simoon deals 1 damage to each creature target opponent controls.
Wax // Wane,2.0,['White'],"['G', 'W']",None,['Instant'],None,Uncommon,WC02,None,None,None,Destroy target enchantment.
Nimble Mongoose,1.0,['Green'],['G'],None,['Creature'],['Mongoose'],Uncommon,WC02,1,1,None,Shroud (This creature can't be the target of spells or abilities.)\nThreshold — Nimble Mongoose gets +2/+2 as long as seven or more cards are in your graveyard.
Wild Mongrel,2.0,['Green'],['G'],None,['Creature'],['Dog'],Common,WC02,2,2,None,Discard a card: Wild Mongrel gets +1/+1 and becomes the color of your choice until end of turn.
Global Ruin,5.0,['White'],['W'],None,['Sorcery'],None,Rare,WC02,None,None,None,"Each player chooses from the lands they control a land of each basic land type, then sacrifices the rest."
Birds of Paradise,1.0,['Green'],['G'],None,['Creature'],['Bird'],Rare,WC02,0,1,None,Flying\n{T}: Add one mana of any color.
Llanowar Elves,1.0,['Green'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,WC02,1,1,None,{T}: Add {G}.
Thornscape Battlemage,3.0,['Green'],"['G', 'R', 'W']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,WC02,2,2,None,"Kicker {R} and/or {W} (You may pay an additional {R} and/or {W} as you cast this spell.)\nWhen Thornscape Battlemage enters the battlefield, if it was kicked with its {R} kicker, it deals 2 damage to any target.\nWhen Thornscape Battlemage enters the battlefield, if it was kicked with its {W} kicker, destroy target artifact."
Mana Short,3.0,['Blue'],['U'],None,['Instant'],None,Rare,WC02,None,None,None,Tap all lands target player controls and that player loses all unspent mana.
Anurid Brushhopper,3.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Frog', 'Beast']",Rare,WC02,3,4,None,Discard two cards: Exile Anurid Brushhopper. Return it to the battlefield under its owner's control at the beginning of the next end step.
Hibernation,3.0,['Blue'],['U'],None,['Instant'],None,Uncommon,WC02,None,None,None,Return all green permanents to their owners' hands.
Teferi's Response,2.0,['Blue'],['U'],None,['Instant'],None,Rare,WC02,None,None,None,"Counter target spell or ability an opponent controls that targets a land you control. If a permanent's ability is countered this way, destroy that permanent.\nDraw two cards."
Thunderscape Battlemage,3.0,['Red'],"['B', 'G', 'R']",None,['Creature'],"['Human', 'Wizard']",Uncommon,WC02,2,2,None,"Kicker {1}{B} and/or {G} (You may pay an additional {1}{B} and/or {G} as you cast this spell.)\nWhen Thunderscape Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, target player discards two cards.\nWhen Thunderscape Battlemage enters the battlefield, if it was kicked with its {G} kicker, destroy target enchantment."
Phantom Nishoba,7.0,"['Green', 'White']","['G', 'W']",None,['Creature'],"['Cat', 'Beast', 'Spirit']",Rare,WC02,0,0,None,"Trample\nPhantom Nishoba enters the battlefield with seven +1/+1 counters on it.\nWhenever Phantom Nishoba deals damage, you gain that much life.\nIf damage would be dealt to Phantom Nishoba, prevent that damage. Remove a +1/+1 counter from Phantom Nishoba."
Repulse,3.0,['Blue'],['U'],None,['Instant'],None,Common,WC02,None,None,None,Return target creature to its owner's hand.\nDraw a card.
